gene_id	gene_name
ENSG00000002016	RAD52
ENSG00000003436	TFPI
ENSG00000003509	NDUFAF7
ENSG00000004399	PLXND1
ENSG00000004864	SLC25A13
ENSG00000004866	ST7
ENSG00000005020	SKAP2
ENSG00000005189	REXO5
ENSG00000005801	ZNF195
ENSG00000005889	ZFX
ENSG00000006125	AP2B1
ENSG00000006652	IFRD1
ENSG00000006704	GTF2IRD1
ENSG00000007372	PAX6
ENSG00000007866	TEAD3
ENSG00000007923	DNAJC11
ENSG00000008282	SYPL1
ENSG00000008513	ST3GAL1
ENSG00000008988	RPS20
ENSG00000010803	SCMH1
ENSG00000011105	TSPAN9
ENSG00000011258	MBTD1
ENSG00000012061	ERCC1
ENSG00000013364	MVP
ENSG00000013441	CLK1
ENSG00000015171	ZMYND11
ENSG00000015475	BID
ENSG00000015479	MATR3
ENSG00000018189	RUFY3
ENSG00000021300	PLEKHB1
ENSG00000021574	SPAST
ENSG00000022267	FHL1
ENSG00000023171	GRAMD1B
ENSG00000025293	PHF20
ENSG00000026297	RNASET2
ENSG00000031003	FAM13B
ENSG00000033170	FUT8
ENSG00000035403	VCL
ENSG00000038382	TRIO
ENSG00000044574	HSPA5
ENSG00000046651	OFD1
ENSG00000046653	GPM6B
ENSG00000047249	ATP6V1H
ENSG00000047315	POLR2B
ENSG00000047579	DTNBP1
ENSG00000047849	MAP4
ENSG00000047932	GOPC
ENSG00000048052	HDAC9
ENSG00000048342	CC2D2A
ENSG00000048405	ZNF800
ENSG00000048740	CELF2
ENSG00000049759	NEDD4L
ENSG00000050820	BCAR1
ENSG00000053524	MCF2L2
ENSG00000054267	ARID4B
ENSG00000055147	FAM114A2
ENSG00000056487	PHF21B
ENSG00000058063	ATP11B
ENSG00000058799	YIPF1
ENSG00000060339	CCAR1
ENSG00000060718	COL11A1
ENSG00000060762	MPC1
ENSG00000061676	NCKAP1
ENSG00000062194	GPBP1
ENSG00000062485	CS
ENSG00000062822	POLD1
ENSG00000063601	MTMR1
ENSG00000064309	CDON
ENSG00000064490	RFXANK
ENSG00000065057	NTHL1
ENSG00000065526	SPEN
ENSG00000065609	SNAP91
ENSG00000065882	TBC1D1
ENSG00000065911	MTHFD2
ENSG00000066136	NFYC
ENSG00000066382	MPPED2
ENSG00000067057	PFKP
ENSG00000067606	PRKCZ
ENSG00000067715	SYT1
ENSG00000067900	ROCK1
ENSG00000068615	REEP1
ENSG00000068650	ATP11A
ENSG00000068796	KIF2A
ENSG00000069812	HES2
ENSG00000069849	ATP1B3
ENSG00000069943	PIGB
ENSG00000070010	UFD1
ENSG00000070061	ELP1
ENSG00000070087	PFN2
ENSG00000070729	CNGB1
ENSG00000070756	PABPC1
ENSG00000070831	CDC42
ENSG00000071127	WDR1
ENSG00000071205	ARHGAP10
ENSG00000071553	ATP6AP1
ENSG00000071564	TCF3
ENSG00000071859	FAM50A
ENSG00000072274	TFRC
ENSG00000072803	FBXW11
ENSG00000073584	SMARCE1
ENSG00000073803	MAP3K13
ENSG00000073849	ST6GAL1
ENSG00000074266	EED
ENSG00000074276	CDHR2
ENSG00000075151	EIF4G3
ENSG00000075292	ZNF638
ENSG00000075391	RASAL2
ENSG00000075785	RAB7A
ENSG00000075914	EXOSC7
ENSG00000076053	RBM7
ENSG00000076108	BAZ2A
ENSG00000076248	UNG
ENSG00000076554	TPD52
