gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000197921	ENSG00000197921	-12.29719177302047	9.362893912520782	175.26959493888458	2.8936714237077772e-11	5.963346156363428e-9	HES5	protein_coding	1	H9_H1	H9_H2	8.224509980284449	TRUE	HES5
ENSG00000102241	ENSG00000102241	9.256518733219542	8.078996552050219	654.2991504475666	2.700451911062053e-20	2.3828517403578597e-16	HTATSF1	protein_coding	X	H9_H1	H9_H2	15.622902978361697	TRUE	HTATSF1
ENSG00000133169	ENSG00000133169	-9.036692441033587	8.69023935975578	171.51506368362539	2.1174998198042725e-11	4.4157433742275524e-09	BEX1	protein_coding	X	H9_H1	H9_H2	8.354996174045928	TRUE	BEX1
ENSG00000102144	ENSG00000102144	-8.797543794568396	5.993375025831695	220.3611645210951	3.1007075224219293e-14	1.645911929401968e-11	PGK1	protein_coding	X	H9_H1	H9_H2	10.783593407032644	TRUE	PGK1
ENSG00000102109	ENSG00000102109	8.436982923399293	8.562148039070058	653.9198362467395	2.7206162474828565e-20	2.3828517403578597e-16	PCSK1N	protein_coding	X	H9_H1	H9_H2	15.622902978361697	TRUE	PCSK1N
ENSG00000102225	ENSG00000102225	-8.329009775041012	7.2376537244202	347.7330409678594	5.505550117749025e-16	7.418517031739206e-13	CDK16	protein_coding	X	H9_H1	H9_H2	12.129682901904369	TRUE	CDK16
ENSG00000147383	ENSG00000147383	-8.077981723755482	5.464790149235265	282.8118617040958	1.0184435273629778e-15	1.1893383512544854e-12	NSDHL	protein_coding	X	H9_H1	H9_H2	11.924694576685809	TRUE	NSDHL
ENSG00000083097	ENSG00000083097	-7.677802558113716	5.092322508923956	290.05587425015705	7.473607721835386e-16	9.351084747385033e-13	DOP1A	protein_coding	6	H9_H1	H9_H2	12.029138007044253	TRUE	DOP1A
ENSG00000179918	ENSG00000179918	-7.558756752787453	5.546251073609426	232.46039702915252	1.0960850765235707e-14	6.857186530522639e-12	SEPHS2	protein_coding	16	H9_H1	H9_H2	11.163854036610918	TRUE	SEPHS2
ENSG00000184905	ENSG00000184905	7.360376163384805	5.732921515933283	106.63396957502499	5.45572127252303e-10	8.609717975746478e-8	TCEAL2	protein_coding	X	H9_H1	H9_H2	7.065011074281895	TRUE	TCEAL2
ENSG00000142937	ENSG00000142937	-7.352019382336742	5.677144300344323	97.85086344584481	1.463299379063522e-9	2.1360512685879762e-7	RPS8	protein_coding	1	H9_H1	H9_H2	6.670388327768179	TRUE	RPS8
ENSG00000100554	ENSG00000100554	-7.1669739513303226	7.330007428847573	288.47253347035445	1.5607410112863984e-15	1.6082058996884614e-12	ATP6V1D	protein_coding	14	H9_H1	H9_H2	11.793658349011723	TRUE	ATP6V1D
ENSG00000125352	ENSG00000125352	6.980191830098108	4.291972392587642	168.89887553204764	4.753334957524842e-13	1.699268743897197e-10	RNF113A	protein_coding	X	H9_H1	H9_H2	9.769737930865036	TRUE	RNF113A
ENSG00000250349	ENSG00000250349	-6.975597049997949	5.870319827655189	64.57635331584042	2.3737710365888657e-7	2.0087607366148385e-5		protein_coding	X	H9_H1	H9_H2	4.697071788964073	TRUE	
ENSG00000204356	ENSG00000204356	-6.913353860121384	7.7850400428307225	572.3814266138744	1.4952475297361742e-19	8.730750326129521e-16	NELFE	protein_coding	6	H9_H1	H9_H2	15.058948431151833	TRUE	NELFE
ENSG00000160131	ENSG00000160131	-6.889516648829637	6.917006193830564	381.14919394780003	2.545081955964814e-17	5.5727750778294556e-14	VMA21	protein_coding	X	H9_H1	H9_H2	13.253928485102561	TRUE	VMA21
ENSG00000165169	ENSG00000165169	6.396207732535623	6.76359798986968	157.21680732779586	1.1415610050658945e-11	2.5644319653448913e-9	DYNLT3	protein_coding	X	H9_H1	H9_H2	8.59100881832458	TRUE	DYNLT3
ENSG00000198680	ENSG00000198680	6.393960223123107	4.007772800643331	51.14882890362806	2.402238924960138e-7	2.0230778484868628e-5	TUSC1	protein_coding	9	H9_H1	H9_H2	4.693987405159117	TRUE	TUSC1
ENSG00000182774	ENSG00000182774	6.3369306116641155	11.546982267929904	294.0546222187561	1.1363674595716332e-15	1.2441092993322686e-12	RPS17	protein_coding	15	H9_H1	H9_H2	11.905141463687242	TRUE	RPS17
ENSG00000072501	ENSG00000072501	-6.320758554466351	7.841401952463087	466.39257018766523	2.0146258762631107e-18	7.058040294900182e-15	SMC1A	protein_coding	X	H9_H1	H9_H2	14.151315866548046	TRUE	SMC1A
ENSG00000000003	ENSG00000000003	6.281659603637145	8.11784541012265	172.75079016851058	5.2299215687901444e-12	1.3087505160070994e-9	TSPAN6	protein_coding	X	H9_H1	H9_H2	8.88314313408178	TRUE	NA
ENSG00000007520	ENSG00000007520	-6.276474275030519	2.7091227691469433	29.64916345572092	4.6648252028756024e-5	0.0022025267676218847	TSR3	protein_coding	16	H9_H1	H9_H2	2.657078804841073	TRUE	NA
ENSG00000122565	ENSG00000122565	-6.268382889548509	8.448015338922078	279.671738855935	2.25340658093349e-15	1.9736461539105973e-12	CBX3	protein_coding	7	H9_H1	H9_H2	11.704730707380136	TRUE	NA
ENSG00000156298	ENSG00000156298	-6.2267623205025	7.575555430304529	66.54363803774261	1.2119792116732975e-7	1.10574165890006e-5	TSPAN7	protein_coding	X	H9_H1	H9_H2	4.956346328021971	TRUE	NA
ENSG00000260836	ENSG00000260836	6.206245015439639	11.551025014412174	315.8561619009409	2.6223341211324507e-16	4.2462045538452656e-13		protein_coding	15	H9_H1	H9_H2	12.371999088251405	TRUE	NA
ENSG00000242732	ENSG00000242732	-6.181902084101121	5.4208973172728125	223.06032278317159	1.7974947110878645e-14	1.0857487880733145e-11	RTL5	protein_coding	X	H9_H1	H9_H2	10.964270646730519	TRUE	NA
ENSG00000102003	ENSG00000102003	6.167837410385298	5.279278358994018	99.93826620320313	4.604414684374605e-10	7.332321093289997e-8	SYP	protein_coding	X	H9_H1	H9_H2	7.134758524889494	TRUE	NA
ENSG00000089289	ENSG00000089289	-6.129383335089812	2.873111760667056	62.88350294862759	1.5021295136395346e-7	1.3222513914785793e-5	IGBP1	protein_coding	X	H9_H1	H9_H2	4.878685967276533	TRUE	NA
ENSG00000102409	ENSG00000102409	-6.068172012239157	4.148542474439705	148.1988279363016	2.1310257023657487e-12	6.523128685423847e-10	BEX4	protein_coding	X	H9_H1	H9_H2	9.1855440538218	TRUE	NA
ENSG00000147133	ENSG00000147133	-5.973509109076486	5.091009623594002	135.04105575524005	6.088287202159694e-12	1.5020919284539629e-9	TAF1	protein_coding	X	H9_H1	H9_H2	8.823303487572476	TRUE	NA
