"sample","junctions_0","junction_1","junctions_2","junctions_3","junctions_4","junctions_5","junctions_6","junctions_7","junctions_8","junctions_9","junctions_10"
"DG-WT-hRGC_junction_per_read_all_genes",0.48533103996515,0.11821733407527,0.0831936098668798,0.0834850969497616,0.057418007320873,0.0477239712821642,0.0395028084392017,0.0282514367280058,0.0223942831124823,0.0185174702741067,0.0159649419861042
"EP1-BRN3B-RO_junction_per_read_all_genes",0.458784861871232,0.129288997135433,0.0911269598794549,0.0885994035089321,0.0635136845010304,0.0500128618568598,0.0361676968614253,0.0272834991164696,0.0247433188018789,0.0170076086453042,0.0134711078219802
"EP1-WT_hRO_2_junction_per_read_all_genes",0.497863168205812,0.119149076247953,0.0906714506499593,0.0880450504682754,0.0612658829349513,0.0496115696188677,0.0294610199408904,0.0227305319851866,0.0184457571830103,0.0127010519619548,0.0100554408031393
"EP1-WT_ROs_D45_junction_per_read_all_genes",0.357148979933944,0.112834936412938,0.097120195480569,0.116435016755693,0.088004192321226,0.0711096210449693,0.0478160211307488,0.03795222626453,0.0298312047033736,0.0233773859306545,0.0183702200213543
"H9-BRN3B_hRO_2_junction_per_read_all_genes",0.460249795751353,0.108656885668007,0.0879831151393547,0.100448590122393,0.0707253086207379,0.0552322287621546,0.0362696054617992,0.0285094871833687,0.0233593477988624,0.0158648330390593,0.0127008024529104
"H9-BRN3B-RO_junction_per_read_all_genes",0.508734000609482,0.123704949694096,0.0861000989126702,0.0806261952604707,0.0561998118727531,0.042256831143969,0.0309894992511574,0.0236668965036007,0.021965984922224,0.0141189557912797,0.0116367760382972
"H9-CRX_hRO_2_junction_per_read_all_genes",0.470911217091508,0.114329900826243,0.08764136539456,0.096720409334365,0.0683430417965079,0.0525072614852752,0.0347269056005909,0.0271085058285978,0.0211014005248423,0.0149024121949105,0.0117075799225991
"H9-CRX_ROs_D45_junction_per_read_all_genes",0.404042803941228,0.110256940860283,0.0972042478540247,0.109243095299044,0.0796296942107566,0.0639110336840777,0.0423884880305376,0.0326337761603831,0.026262482961112,0.0193295830035209,0.0150978539950321
"H9-FT_1_junction_per_read_all_genes",0.441078744443126,0.121970230206384,0.0866149983063133,0.0936359897447823,0.0694946566752919,0.0561170503775581,0.0378511276568262,0.0307254520712852,0.0267586382557183,0.0197738177593079,0.0159792945034072
"H9-FT_2_junction_per_read_all_genes",0.480086845469571,0.100137804676133,0.0794427022017328,0.0912737595517872,0.067308581527711,0.0555251006627059,0.0361813040681126,0.0308536291053103,0.0250051754747788,0.0191871395969837,0.0149979576651734
"H9-hRGC_1_junction_per_read_all_genes",0.533044092965651,0.136386564702047,0.0839321652991528,0.0748709978049378,0.050039164584553,0.0373419447574308,0.0284947983895359,0.0192449847288878,0.0151063031400359,0.0116904234388761,0.00984856018889223
"H9-hRGC_2_junction_per_read_all_genes",0.451735440443224,0.106893824545897,0.0852792811287208,0.099664783392255,0.0684043865589739,0.0548610879879271,0.0418377514743724,0.0304512841370432,0.0244863052808827,0.0197490643022038,0.0166367907485004
"hRGC_junction_per_read_all_genes",0.437908563404301,0.127729300679112,0.0913330286535374,0.0964012966565731,0.0654722241083184,0.0517731800951931,0.0414891921023115,0.0292190474530813,0.0235063189888371,0.0189903141081516,0.0161775337505838
"YZ-15T_hRGC_junction_per_read_all_genes",0.46195806350662,0.127394393023368,0.0883475871792608,0.0897145080344841,0.062136299699873,0.0487870591065061,0.037402333105858,0.0275667545162221,0.0223568928524848,0.0185715167183258,0.0157645922569971
"YZ-3T_hRGC_junction_per_read_all_genes",0.510351631488762,0.125082226513778,0.0834877179808509,0.0811437991081006,0.0542146221915692,0.0430506501110686,0.0326252571625017,0.0234583271103976,0.018795313421225,0.015063937936001,0.0127265169757456
