**** Job starts ****
2023-11-04 09:40:06
**** JHPCE info ****
User: sparthib
Job id: 718809
Job name: fastq2bam
Node name: compute-116
Task id: 2
[M::mm_idx_gen::66.985*1.68] collected minimizers
[M::mm_idx_gen::72.594*2.67] sorted minimizers
[M::main::72.595*2.67] loaded/built the index for 194 target sequence(s)
[M::mm_mapopt_update::74.717*2.62] mid_occ = 706
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 194
[M::mm_idx_stat::76.128*2.59] distinct minimizers: 100159079 (38.75% are singletons); average occurrences: 5.545; average spacing: 5.581; total length: 3099750718
[M::worker_pipeline::258.035*17.03] mapped 297018 sequences
[M::worker_pipeline::416.960*20.03] mapped 295688 sequences
[M::worker_pipeline::575.694*21.34] mapped 294687 sequences
[M::worker_pipeline::734.103*22.04] mapped 295702 sequences
[M::worker_pipeline::890.047*22.55] mapped 294084 sequences
[M::worker_pipeline::1049.786*22.89] mapped 297449 sequences
[M::worker_pipeline::1205.380*23.15] mapped 294798 sequences
[M::worker_pipeline::1361.727*23.35] mapped 296208 sequences
[M::worker_pipeline::1519.389*23.50] mapped 294542 sequences
[M::worker_pipeline::1677.398*23.63] mapped 294858 sequences
[M::worker_pipeline::1834.096*23.74] mapped 294306 sequences
[M::worker_pipeline::1989.971*23.83] mapped 295952 sequences
[M::worker_pipeline::2149.357*23.90] mapped 294109 sequences
[M::worker_pipeline::2305.190*23.96] mapped 295209 sequences
[M::worker_pipeline::2464.226*24.01] mapped 293520 sequences
[M::worker_pipeline::2621.629*24.06] mapped 295286 sequences
[M::worker_pipeline::2779.351*24.11] mapped 293687 sequences
[M::worker_pipeline::2938.195*24.14] mapped 295510 sequences
[M::worker_pipeline::3117.860*23.99] mapped 293763 sequences
[M::worker_pipeline::3274.715*24.03] mapped 294400 sequences
[M::worker_pipeline::3433.982*24.06] mapped 293567 sequences
[M::worker_pipeline::3589.428*24.09] mapped 293123 sequences
[M::worker_pipeline::3748.332*24.13] mapped 295547 sequences
[M::worker_pipeline::3905.542*24.14] mapped 294216 sequences
[M::worker_pipeline::4064.347*24.16] mapped 293886 sequences
[M::worker_pipeline::4220.617*24.19] mapped 294298 sequences
[M::worker_pipeline::4378.261*24.22] mapped 293804 sequences
[M::worker_pipeline::4537.952*24.22] mapped 293028 sequences
[M::worker_pipeline::4695.246*24.24] mapped 295730 sequences
[M::worker_pipeline::4853.362*24.27] mapped 294366 sequences
[M::worker_pipeline::5011.260*24.28] mapped 295256 sequences
[M::worker_pipeline::5169.881*24.30] mapped 294952 sequences
