**** Job starts ****
2023-11-04 09:40:07
**** JHPCE info ****
User: sparthib
Job id: 718810
Job name: fastq2bam
Node name: compute-115
Task id: 3
[M::mm_idx_gen::74.790*1.55] collected minimizers
[M::mm_idx_gen::79.750*2.42] sorted minimizers
[M::main::79.750*2.42] loaded/built the index for 194 target sequence(s)
[M::mm_mapopt_update::81.704*2.39] mid_occ = 706
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 194
[M::mm_idx_stat::83.454*2.36] distinct minimizers: 100159079 (38.75% are singletons); average occurrences: 5.545; average spacing: 5.581; total length: 3099750718
[M::worker_pipeline::224.819*15.03] mapped 249499 sequences
[M::worker_pipeline::342.050*18.46] mapped 248549 sequences
[M::worker_pipeline::459.502*20.15] mapped 247356 sequences
[M::worker_pipeline::576.468*21.14] mapped 247332 sequences
[M::worker_pipeline::693.524*21.80] mapped 246673 sequences
[M::worker_pipeline::809.564*22.26] mapped 250745 sequences
[M::worker_pipeline::925.896*22.61] mapped 247924 sequences
[M::worker_pipeline::1043.457*22.88] mapped 247093 sequences
[M::worker_pipeline::1159.757*23.10] mapped 247205 sequences
[M::worker_pipeline::1276.764*23.28] mapped 246899 sequences
[M::worker_pipeline::1392.474*23.43] mapped 246379 sequences
[M::worker_pipeline::1509.450*23.55] mapped 246628 sequences
[M::worker_pipeline::1627.240*23.66] mapped 249024 sequences
[M::worker_pipeline::1745.691*23.75] mapped 245948 sequences
[M::worker_pipeline::1860.740*23.83] mapped 245540 sequences
[M::worker_pipeline::1979.132*23.90] mapped 247243 sequences
[M::worker_pipeline::2095.542*23.96] mapped 246271 sequences
[M::worker_pipeline::2212.661*24.01] mapped 246442 sequences
[M::worker_pipeline::2330.350*24.07] mapped 245218 sequences
[M::worker_pipeline::2448.208*24.11] mapped 247952 sequences
[M::worker_pipeline::2564.791*24.15] mapped 245548 sequences
[M::worker_pipeline::2681.648*24.19] mapped 245617 sequences
[M::worker_pipeline::2799.026*24.23] mapped 245326 sequences
[M::worker_pipeline::2916.004*24.26] mapped 245632 sequences
