**** Job starts ****
2023-11-04 21:03:32
**** JHPCE info ****
User: sparthib
Job id: 718807
Job name: fastq2bam
Node name: compute-116
Task id: 4
[M::mm_idx_gen::67.428*1.68] collected minimizers
[M::mm_idx_gen::73.219*2.67] sorted minimizers
[M::main::73.219*2.67] loaded/built the index for 194 target sequence(s)
[M::mm_mapopt_update::75.760*2.62] mid_occ = 706
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 194
[M::mm_idx_stat::77.590*2.58] distinct minimizers: 100159079 (38.75% are singletons); average occurrences: 5.545; average spacing: 5.581; total length: 3099750718
[M::worker_pipeline::226.091*15.77] mapped 234862 sequences
[M::worker_pipeline::375.784*16.93] mapped 232595 sequences
[M::worker_pipeline::557.557*16.48] mapped 234981 sequences
[M::worker_pipeline::755.771*16.02] mapped 232973 sequences
[M::worker_pipeline::942.656*15.84] mapped 232011 sequences
[M::worker_pipeline::1140.742*15.62] mapped 231939 sequences
[M::worker_pipeline::1314.160*15.64] mapped 231200 sequences
[M::worker_pipeline::1496.769*15.65] mapped 231689 sequences
[M::worker_pipeline::1617.755*16.32] mapped 231328 sequences
[M::worker_pipeline::1740.828*16.91] mapped 233707 sequences
[M::worker_pipeline::1871.091*17.37] mapped 230466 sequences
[M::worker_pipeline::2040.979*17.28] mapped 230713 sequences
[M::worker_pipeline::2239.212*17.05] mapped 231636 sequences
[M::worker_pipeline::2425.638*16.90] mapped 229607 sequences
[M::worker_pipeline::2610.284*16.78] mapped 229461 sequences
[M::worker_pipeline::2791.061*16.70] mapped 231688 sequences
[M::worker_pipeline::2987.997*16.57] mapped 229939 sequences
[M::worker_pipeline::3168.228*16.50] mapped 230172 sequences
[M::worker_pipeline::3342.485*16.48] mapped 228577 sequences
[M::worker_pipeline::3501.353*16.51] mapped 230160 sequences
[M::worker_pipeline::3680.882*16.47] mapped 228028 sequences
[M::worker_pipeline::3805.206*16.73] mapped 231833 sequences
[M::worker_pipeline::3983.153*16.69] mapped 229677 sequences
[M::worker_pipeline::4154.631*16.68] mapped 228680 sequences
[M::worker_pipeline::4349.293*16.61] mapped 227768 sequences
[M::worker_pipeline::4534.231*16.55] mapped 229262 sequences
[M::worker_pipeline::4727.898*16.49] mapped 229056 sequences
[M::worker_pipeline::4906.262*16.45] mapped 229726 sequences
[M::worker_pipeline::5084.879*16.42] mapped 228912 sequences
[M::worker_pipeline::5260.607*16.42] mapped 227859 sequences
[M::worker_pipeline::5382.083*16.60] mapped 227873 sequences
[M::worker_pipeline::5504.175*16.78] mapped 227919 sequences
[M::worker_pipeline::5631.701*16.94] mapped 227116 sequences
[M::worker_pipeline::5759.764*17.09] mapped 229577 sequences
[M::worker_pipeline::5929.232*17.06] mapped 228162 sequences
[M::worker_pipeline::6105.795*17.03] mapped 227526 sequences
[M::worker_pipeline::6228.718*17.17] mapped 227556 sequences
[M::worker_pipeline::6352.728*17.31] mapped 228079 sequences
[M::worker_pipeline::6476.604*17.45] mapped 230530 sequences
[M::worker_pipeline::6599.093*17.58] mapped 227965 sequences
[M::worker_pipeline::6721.887*17.71] mapped 227916 sequences
[M::worker_pipeline::6843.747*17.83] mapped 227300 sequences
[M::worker_pipeline::6968.032*17.95] mapped 227435 sequences
[M::worker_pipeline::7093.977*18.05] mapped 228977 sequences
