gene	non_ase	H1	H2
ENSG00000283782	yes	no	no
ENSG00000017483	yes	no	no
ENSG00000117154	yes	no	no
ENSG00000139053	yes	no	no
ENSG00000143171	yes	yes	no
ENSG00000164318	yes	no	no
ENSG00000165521	yes	no	no
ENSG00000168843	yes	no	no
ENSG00000169085	yes	no	no
ENSG00000290147	yes	no	no
ENSG00000162496	yes	no	no
ENSG00000082126	yes	no	no
ENSG00000113522	yes	no	no
ENSG00000123307	yes	no	no
ENSG00000105392	yes	no	no
ENSG00000111664	yes	no	no
ENSG00000189221	yes	no	no
ENSG00000067057	yes	yes	yes
ENSG00000116703	yes	no	no
ENSG00000120500	yes	no	no
ENSG00000198570	yes	no	no
ENSG00000092200	yes	yes	no
ENSG00000104888	yes	no	no
ENSG00000107099	yes	no	yes
ENSG00000112041	yes	yes	yes
ENSG00000102755	yes	no	no
ENSG00000100504	yes	no	no
ENSG00000177182	yes	no	no
ENSG00000278677	yes	no	no
ENSG00000138207	yes	no	no
ENSG00000261210	yes	yes	no
ENSG00000176170	yes	no	no
ENSG00000108387	yes	yes	yes
ENSG00000102104	yes	no	no
ENSG00000112379	yes	no	no
ENSG00000164398	yes	no	no
ENSG00000115295	yes	no	no
ENSG00000122733	yes	no	no
ENSG00000124507	yes	no	no
ENSG00000148600	yes	no	no
ENSG00000173826	yes	no	no
ENSG00000184599	yes	no	no
ENSG00000197061	yes	no	no
ENSG00000213551	yes	no	no
ENSG00000228716	yes	no	no
ENSG00000186998	yes	no	no
ENSG00000112619	yes	yes	yes
ENSG00000205129	yes	yes	yes
ENSG00000117069	yes	no	no
ENSG00000276368	yes	no	no
ENSG00000090889	yes	no	no
ENSG00000139292	yes	no	no
ENSG00000167083	yes	no	no
ENSG00000173976	yes	no	no
ENSG00000129521	yes	no	no
ENSG00000188163	yes	no	no
ENSG00000071909	yes	yes	no
ENSG00000163431	yes	no	no
ENSG00000170289	yes	no	no
ENSG00000003137	yes	yes	yes
ENSG00000108691	yes	yes	yes
ENSG00000129221	yes	no	no
ENSG00000140939	yes	no	no
ENSG00000154080	yes	no	no
ENSG00000168298	yes	no	no
ENSG00000184489	yes	no	no
ENSG00000185483	yes	no	no
ENSG00000186352	yes	no	no
ENSG00000187017	yes	no	no
ENSG00000197299	yes	no	no
ENSG00000073734	yes	no	no
ENSG00000168309	yes	yes	yes
ENSG00000185518	yes	no	no
ENSG00000132639	yes	yes	no
ENSG00000107295	yes	no	no
ENSG00000197635	yes	no	no
ENSG00000204152	yes	no	no
ENSG00000001461	yes	yes	no
ENSG00000109107	yes	no	no
ENSG00000165023	yes	no	no
ENSG00000184160	yes	no	no
ENSG00000284906	yes	no	no
ENSG00000070601	yes	no	no
ENSG00000138722	yes	no	no
ENSG00000185985	yes	no	no
ENSG00000095777	yes	no	no
ENSG00000117971	yes	no	no
ENSG00000102003	yes	no	no
ENSG00000044524	yes	yes	no
ENSG00000163378	yes	no	no
ENSG00000171444	yes	no	no
ENSG00000122966	yes	no	no
ENSG00000188992	yes	no	no
ENSG00000163377	yes	no	no
ENSG00000188486	yes	no	no
ENSG00000112312	yes	no	no
ENSG00000129673	yes	no	no
ENSG00000072571	yes	no	no
ENSG00000119698	yes	no	no
ENSG00000214193	yes	no	no
ENSG00000129195	yes	no	no
ENSG00000162433	yes	no	no
ENSG00000214338	yes	no	no
ENSG00000108018	yes	no	no
ENSG00000114023	yes	no	no
ENSG00000124575	yes	no	no
ENSG00000047617	yes	no	no
ENSG00000111886	yes	yes	yes
ENSG00000113361	yes	no	no
ENSG00000102144	yes	no	no
ENSG00000127824	yes	no	no
ENSG00000115738	yes	no	no
ENSG00000121152	yes	no	no
ENSG00000128052	yes	no	no
ENSG00000141750	yes	no	no
ENSG00000142634	yes	no	no
ENSG00000197580	yes	no	no
ENSG00000163507	yes	no	no
ENSG00000047662	yes	no	no
ENSG00000146376	yes	no	no
ENSG00000152377	yes	no	no
ENSG00000163328	yes	no	no
ENSG00000203668	yes	no	no
ENSG00000008086	yes	no	no
ENSG00000069482	yes	no	no
ENSG00000105642	yes	no	no
ENSG00000108106	yes	no	no
ENSG00000134115	yes	no	yes
ENSG00000141338	yes	no	no
ENSG00000159167	yes	no	no
ENSG00000159556	yes	no	no
ENSG00000184260	yes	no	no
ENSG00000066382	yes	no	no
ENSG00000243910	yes	no	no
ENSG00000159399	yes	no	no
ENSG00000166831	yes	no	no
ENSG00000168263	yes	yes	no
ENSG00000187527	yes	no	no
ENSG00000102271	yes	no	no
ENSG00000073060	yes	no	no
ENSG00000140470	yes	no	no
ENSG00000035499	yes	no	no
ENSG00000074317	yes	no	no
ENSG00000092853	yes	no	no
ENSG00000105810	yes	no	no
ENSG00000138061	yes	no	no
ENSG00000154265	yes	no	no
ENSG00000163638	yes	no	no
ENSG00000167799	yes	no	no
ENSG00000137168	yes	no	no
ENSG00000162849	yes	no	no
ENSG00000177453	yes	no	no
ENSG00000159217	yes	no	no
ENSG00000154678	yes	yes	yes
ENSG00000165323	yes	no	no
ENSG00000130520	yes	no	no
ENSG00000135272	yes	no	no
ENSG00000117602	yes	no	no
ENSG00000111602	yes	no	no
ENSG00000144366	yes	no	no
ENSG00000163808	yes	no	no
ENSG00000181965	yes	no	no
ENSG00000183684	yes	no	no
ENSG00000100297	yes	no	no
ENSG00000170615	yes	no	no
ENSG00000183814	yes	no	no
ENSG00000186952	yes	no	no
ENSG00000188613	yes	no	no
ENSG00000213626	yes	no	no
ENSG00000124440	yes	no	no
ENSG00000036672	yes	no	no
ENSG00000121310	yes	no	no
ENSG00000136960	yes	no	no
ENSG00000149926	yes	no	no
ENSG00000253117	yes	no	no
ENSG00000121621	yes	no	no
ENSG00000130066	yes	no	no
ENSG00000145087	yes	no	no
ENSG00000158445	yes	no	no
ENSG00000118733	yes	yes	no
ENSG00000132026	yes	no	no
ENSG00000177954	yes	no	no
ENSG00000102878	yes	no	no
ENSG00000123219	yes	no	no
ENSG00000176171	yes	no	no
ENSG00000119333	yes	no	no
ENSG00000130222	yes	no	no
ENSG00000138778	yes	no	no
ENSG00000139182	yes	no	no
ENSG00000007968	yes	no	no
ENSG00000173157	yes	no	no
ENSG00000114115	yes	no	no
ENSG00000188107	yes	no	no
ENSG00000133119	yes	no	no
ENSG00000183775	yes	no	no
ENSG00000081148	yes	no	no
ENSG00000119227	yes	no	no
ENSG00000129534	yes	no	no
ENSG00000140365	yes	no	no
ENSG00000153976	yes	no	no
ENSG00000166833	yes	no	no
ENSG00000182022	yes	no	no
ENSG00000013297	yes	no	no
ENSG00000112599	yes	no	no
ENSG00000166111	yes	no	no
