gene_id	gene_name
ENSG00000109906	NA
ENSG00000109906	ZBTB16
ENSG00000112041	TULP1
ENSG00000129673	NA
ENSG00000129673	AANAT
ENSG00000139053	PDE6H
ENSG00000139053	NA
ENSG00000140939	NOL3
ENSG00000141750	STAC2
ENSG00000141750	NA
ENSG00000159217	IGF2BP1
ENSG00000159217	NA
ENSG00000118985	NA
ENSG00000118985	ELL2
ENSG00000139292	NA
ENSG00000139292	LGR5
ENSG00000149948	HMGA2
ENSG00000221869	NA
ENSG00000221869	CEBPD
ENSG00000104888	SLC17A7
ENSG00000104888	NA
ENSG00000111837	NA
ENSG00000111837	MAK
ENSG00000134602	NA
ENSG00000134602	STK26
ENSG00000143171	RXRG
ENSG00000143171	NA
ENSG00000158555	NA
ENSG00000158555	GDPD5
ENSG00000166111	NA
ENSG00000166111	SVOP
ENSG00000176890	TYMS
ENSG00000189221	MAOA
ENSG00000246922	UBAP1L
ENSG00000246922	NA
ENSG00000272398	CD24
ENSG00000109103	UNC119
ENSG00000109103	NA
ENSG00000130208	APOC1
ENSG00000162496	DHRS3
ENSG00000162496	NA
ENSG00000253230	MIR124-1HG
ENSG00000253230	NA
ENSG00000010292	NA
ENSG00000010292	NCAPD2
ENSG00000164318	EGFLAM
ENSG00000164318	NA
ENSG00000184144	NA
ENSG00000184144	CNTN2
ENSG00000114346	ECT2
