isoform_id	gene_id	gene_name	iso_value_1	iso_value_2	IF1	IF2
BambuTx602	BambuGene17622	NA	0	1.7250050000000001	NA	1
BambuTx623	BambuGene18622	NA	0	0.5331400000000001	NA	1
BambuTx407	BambuGene27302	NA	0.36800499999999997	0	1	NA
BambuTx427	BambuGene28657	NA	1.45751	0	1	NA
BambuTx419	BambuGene28899	NA	0.7532099999999999	0	1	NA
BambuTx610	BambuGene31497	NA	0	0.329365	NA	1
BambuTx80	BambuGene3960	NA	0.572075	0	1	NA
BambuTx137	BambuGene8804	NA	0.873965	0	1	NA
BambuTx619	BambuGene9650	NA	0	0.24453	NA	1
ENST00000630130.2	ENSG00000000971	CFH	0.06038	0	1	NA
ENST00000452010.2	ENSG00000002079	MYH16	0	0.16302	NA	0.8
ENST00000425880.1	ENSG00000002079	MYH16	0	0.040755	NA	0.2
ENST00000416793.6	ENSG00000002726	AOC1	0	0.122265	NA	1
ENST00000222381.8	ENSG00000005421	PON1	0.528905	0	1	NA
ENST00000369751.2	ENSG00000005700	IBTK	0	0.16468	NA	1
ENST00000448308.2	ENSG00000006555	TTC22	0	0.020375	NA	0.5
ENST00000371274.8	ENSG00000006555	TTC22	0	0.020375	NA	0.5
ENST00000394905.2	ENSG00000006606	CCL26	0.19180999999999998	0	0.84695	NA
ENST00000005180.9	ENSG00000006606	CCL26	0.05544	0	0.15305	NA
ENST00000005226.12	ENSG00000006611	USH1C	0	0.122265	NA	1
ENST00000375190.10	ENSG00000006638	TBXA2R	0	0.20543499999999998	NA	1
ENST00000621918.1	ENSG00000006788	MYH13	0	0.08151	NA	1
ENST00000577043.1	ENSG00000007038	PRSS21	0	0.020375	NA	0.5
ENST00000575199.1	ENSG00000007038	PRSS21	0	0.020375	NA	0.5
ENST00000444914.7	ENSG00000007216	SLC13A2	0.126495	0	1	NA
ENST00000006724.7	ENSG00000007306	CEACAM7	0.08815	0	0.3333	NA
ENST00000401731.6	ENSG00000007306	CEACAM7	0.08815	0	0.3333	NA
ENST00000602225.1	ENSG00000007306	CEACAM7	0.08815	0	0.3333	NA
ENST00000530212.5	ENSG00000007933	FMO3	0.06038	0	0.5	NA
ENST00000534514.1	ENSG00000007933	FMO3	0.06038	0	0.5	NA
ENST00000627426.2	ENSG00000010030	ETV7	0	0.00679	NA	0.1667
ENST00000339796.9	ENSG00000010030	ETV7	0	0.00679	NA	0.1667
ENST00000340181.9	ENSG00000010030	ETV7	0	0.00679	NA	0.1667
ENST00000615781.4	ENSG00000010030	ETV7	0	0.00679	NA	0.1667
ENST00000373737.8	ENSG00000010030	ETV7	0	0.00679	NA	0.1667
ENST00000373738.4	ENSG00000010030	ETV7	0	0.00679	NA	0.1667
ENST00000466007.1	ENSG00000010282	HHATL	0	0.041325	NA	0.338
ENST00000490003.5	ENSG00000010282	HHATL	0	0.03731	NA	0.3052
ENST00000441594.6	ENSG00000010282	HHATL	0	0.04363	NA	0.3568
ENST00000481607.1	ENSG00000010327	STAB1	0.032065	0	0.2425	NA
ENST00000321725.10	ENSG00000010327	STAB1	0.10016	0	0.7575	NA
ENST00000342836.9	ENSG00000010438	PRSS3	0	0.020375	NA	0.25
ENST00000379405.4	ENSG00000010438	PRSS3	0	0.020375	NA	0.25
ENST00000361005.10	ENSG00000010438	PRSS3	0	0.020375	NA	0.25
ENST00000429677.8	ENSG00000010438	PRSS3	0	0.020375	NA	0.25
ENST00000426532.6	ENSG00000012223	LTF	0	0.01019	NA	0.25
ENST00000231751.9	ENSG00000012223	LTF	0	0.01019	NA	0.25
ENST00000417439.5	ENSG00000012223	LTF	0	0.01019	NA	0.25
ENST00000443496.5	ENSG00000012223	LTF	0	0.01019	NA	0.25
ENST00000351273.12	ENSG00000014257	ACP3	0	0.065325	NA	0.1603
ENST00000336375.10	ENSG00000014257	ACP3	0	0.30313	NA	0.8397
ENST00000394711.2	ENSG00000016490	CLCA1	0	0.368455	NA	1
ENST00000424202.6	ENSG00000017427	IGF1	0.120755	0	0.25	NA
ENST00000307046.8	ENSG00000017427	IGF1	0.06038	0	0.125	NA
ENST00000337514.11	ENSG00000017427	IGF1	0.126495	0	0.625	NA
ENST00000327097.5	ENSG00000019169	MARCO	0	0.16468	NA	1
ENST00000216862.8	ENSG00000019186	CYP24A1	0.25298	0	1	NA
ENST00000465400.1	ENSG00000020219	CCT8L1P	0	0.329365	NA	1
ENST00000514044.5	ENSG00000034533	ASTE1	0	0.013585	NA	0.16665
ENST00000507978.5	ENSG00000034533	ASTE1	0	5.2834	NA	0.66665
ENST00000264992.8	ENSG00000034533	ASTE1	0	0.013585	NA	0.16665
ENST00000518203.5	ENSG00000036448	MYOM2	0.126495	0	1	NA
ENST00000643344.1	ENSG00000036473	OTC	0.02204	0	0.3333	NA
ENST00000488812.1	ENSG00000036473	OTC	0.02204	0	0.3333	NA
ENST00000039007.5	ENSG00000036473	OTC	0.02204	0	0.3333	NA
ENST00000440926.3	ENSG00000036565	SLC18A1	0	0.013585	NA	0.3333
ENST00000265808.11	ENSG00000036565	SLC18A1	0	0.013585	NA	0.3333
ENST00000437980.3	ENSG00000036565	SLC18A1	0	0.013585	NA	0.3333
ENST00000040584.6	ENSG00000037965	HOXC8	0.066115	0	1	NA
ENST00000465922.1	ENSG00000042813	ZPBP	0	0.329365	NA	1
ENST00000247452.4	ENSG00000046774	MAGEC2	0	0.040755	NA	1
ENST00000479771.5	ENSG00000047457	CP	0.52317	0	0.15495	NA
ENST00000264613.11	ENSG00000047457	CP	2.21678	0	0.40525	NA
ENST00000489736.5	ENSG00000047457	CP	0.06591	0	0.0099	NA
ENST00000460674.5	ENSG00000047457	CP	0.132225	0	0.04165	NA
ENST00000481169.5	ENSG00000047457	CP	0.736245	0	0.11085	NA
ENST00000497797.5	ENSG00000047457	CP	0.254645	0	0.04925	NA
ENST00000490639.5	ENSG00000047457	CP	0.9785200000000001	0	0.22815	NA
ENST00000377516.6	ENSG00000049247	UTS2	0	0.122265	NA	0.5
ENST00000361696.10	ENSG00000049247	UTS2	0	0.16468	NA	0.5
ENST00000377507.8	ENSG00000049249	TNFRSF9	0.71004	0	1	NA
ENST00000376207.10	ENSG00000049768	FOXP3	0	0.040755	NA	1
ENST00000338882.5	ENSG00000053328	METTL24	0.319095	0	1	NA
