gene_name	logFC	logCPM	PValue
1	A1BG	-0.229015044399251	5.22821835936218	0.521847490735184
2	A1CF	1.22969385426969	1.13697831131984	0.115822461267659
3	A2M	1.27818644994567	4.11020455358289	0.00196868064898611
4	A2ML1	0.828298172158487	2.02982642089366	0.124306392086815
5	A2MP1	0.327589869694672	1.82115929356823	0.560415785329215
6	A3GALT2	-0.148414585937927	0.487123632193736	0.88244556257311
7	A4GALT	-0.615252545216126	3.27395876176478	0.156979030886564
8	AAAS	-0.0245608596863983	3.9043478993551	0.957719415085735
9	AACS	-0.482041811319599	5.18729579186979	0.0968171265307789
10	AACSP1	-1.27176525116581	1.41485303963113	0.259219633404857
11	AADACL2	0.801863444497251	1.97958533096755	0.111025375145008
12	AADACL3	0.937396122810651	1.43209136658151	0.0614278971928473
13	AADAT	-1.32374894986462	4.92587809936045	2.48449424865146e-05
14	AAGAB	-0.578009622518924	5.33787917412804	0.0360850538514654
15	AAK1	-0.199200275037971	8.00301359906849	0.453393744171483
16	AAMDC	0.838512063321558	4.27102250636165	0.0676216820993485
17	AAMP	0.179923844119574	5.85591887354213	0.48036685497482
18	AANAT	4.77254250027792	4.3900922189658	2.62331706349656e-08
19	AAR2	0.0824094416198579	4.80313055490936	0.791083602391569
20	AARD	0.890662692878962	2.2816084067941	0.0572375270402483
21	AARS1	0.546062110128146	6.10159006356247	0.0385569002587158
22	AARS2	0.293852744106485	4.21760159921733	0.406996736239099
23	AARSD1	-0.553502133285588	4.77618688947472	0.0704971192875663
24	AARSD1P1	0.0455479592214346	2.12472449056721	0.957650103942995
25	AASDH	0.0926131523632008	4.91747229713414	0.782024267545561
26	AASDHPPT	-1.40784277919252	6.98430058353408	9.16120561864428e-08
27	AASS	0.331405285838402	5.19907034508159	0.282576992822209
28	AATF	0.6380516011929	4.42078945391304	0.073386598531562
29	AATK	1.1645946624592	4.06552898193487	0.00837211820897949
30	ABAT	-1.58515900456123	6.87494621411883	4.76266130003726e-10
31	ABCA1	3.21758523805216	4.81669595830972	8.69350695356164e-18
32	ABCA10	2.2668172491751	1.93487265875065	0.000116371054332482
33	ABCA11P	-0.56390589041051	2.74928034455574	0.214097142606316
