gene_id	seqnames	start	end	width	strand	isoform_id	gene_name	ensembl_gene_name
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1	GTF2IRD1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000508167.5	PROM1	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000508167.5	PROM1	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000508167.5	PROM1	PROM1
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000396068.6	ANLN	ANLN
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000396068.6	ANLN	ANLN
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000396068.6	ANLN	ANLN
ENSG00000012983	chr14	50438092	50438094	3	-	ENST00000682126.1	MAP4K5	MAP4K5
ENSG00000012983	chr14	50438092	50438094	3	-	ENST00000682126.1	MAP4K5	MAP4K5
ENSG00000012983	chr14	50438092	50438094	3	-	ENST00000682126.1	MAP4K5	MAP4K5
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000635736.2	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000635736.2	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000635736.2	GRAMD1B	GRAMD1B
ENSG00000035664	chr15	63929551	63929577	27	-	ENST00000457488.6	DAPK2	DAPK2
ENSG00000035664	chr15	63929551	63929577	27	-	ENST00000457488.6	DAPK2	DAPK2
ENSG00000035664	chr15	63929551	63929577	27	-	ENST00000457488.6	DAPK2	DAPK2
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000042381.9	RIPOR1	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000042381.9	RIPOR1	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000042381.9	RIPOR1	RIPOR1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394310.7	CACNB1	CACNB1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394310.7	CACNB1	CACNB1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394310.7	CACNB1	CACNB1
ENSG00000074964	chr1	17634548	17634562	15	+	ENST00000361221.8	ARHGEF10L	ARHGEF10L
ENSG00000074964	chr1	17634548	17634562	15	+	ENST00000361221.8	ARHGEF10L	ARHGEF10L
ENSG00000074964	chr1	17634548	17634562	15	+	ENST00000361221.8	ARHGEF10L	ARHGEF10L
