gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00043018	RIMS2	RIMS2	RGC	RO_D209	0	1
geneComp_00081273	ERGIC3	ERGIC3	RGC	RO_D45	2.0213911867272052e-218	2
geneComp_00001181	AP1S2	AP1S2	RGC	RO_D209	8.284303242219075e-206	3
geneComp_00118908	EIF4A1	EIF4A1	RO_D209	RO_D45	4.773765094731063e-123	4
geneComp_00103816	RTN4	RTN4	RGC	RO_D45	1.7639842137710558e-121	5
geneComp_00002543	BSCL2	BSCL2	RGC	RO_D209	6.982067896993248e-93	6
geneComp_00096545	PKM	PKM	RGC	RO_D45	9.843327201289959e-78	7
geneComp_00038354	NSFL1C	NSFL1C	RGC	RO_D209	4.62107823391881e-75	8
geneComp_00031613	LINC00461	LINC00461	RGC	RO_D209	2.1168756089113282e-70	9
geneComp_00057038	AP1S2	AP1S2	RGC	RO_D45	4.976526191696129e-70	10
geneComp_00102440	RPL22L1	RPL22L1	RGC	RO_D45	7.739252665852034e-66	11
geneComp_00083349	GOPC	GOPC	RGC	RO_D45	8.453136464921614e-66	12
geneComp_00109269	TUBA1C	TUBA1C	RGC	RO_D45	4.114431400701481e-60	13
geneComp_00027565	GPM6B	GPM6B	RGC	RO_D209	6.228943829644818e-60	14
geneComp_00094512	OLFM3	OLFM3	RGC	RO_D45	1.2749916548053234e-58	15
geneComp_00004737	CNGB1	CNGB1	RGC	RO_D209	1.5520343956964038e-57	16
geneComp_00041190	PPFIA2	PPFIA2	RGC	RO_D209	1.7169161114237216e-57	17
geneComp_00084011	H4C15	H4C15	RGC	RO_D45	5.62746931614549e-57	18
geneComp_00107635	TFPI	TFPI	RGC	RO_D45	2.4726623562162775e-56	19
geneComp_00157914	RP1	RP1	RO_D209	RO_D45	1.5942197440354895e-55	20
geneComp_00027368	GNAT1	GNAT1	RGC	RO_D209	3.536049291720384e-55	21
geneComp_00047956	RTN1	RTN1	RGC	RO_D209	3.5442608286768144e-55	22
geneComp_00154732	RIMS2	RIMS2	RO_D209	RO_D45	3.9826323912416876e-55	23
geneComp_00054627	WWTR1	WWTR1	RGC	RO_D209	1.0541443259989421e-54	24
geneComp_00094211	NSFL1C	NSFL1C	RGC	RO_D45	2.9745743040720774e-54	25
geneComp_00160736	SLC17A7	SLC17A7	RO_D209	RO_D45	3.528989305126513e-54	26
geneComp_00050820	ST6GAL1	ST6GAL1	RGC	RO_D209	3.980740704753115e-54	27
geneComp_00002545	BSG	BSG	RGC	RO_D209	3.530505416476366e-53	28
geneComp_00004811	CNTNAP2	CNTNAP2	RGC	RO_D209	4.887543308557019e-53	29
geneComp_00162723	STX3	STX3	RO_D209	RO_D45	1.9666751682056497e-52	30
geneComp_00040063	PCSK2	PCSK2	RGC	RO_D209	7.461599786588161e-51	31
geneComp_00057067	APBB1	APBB1	RGC	RO_D45	9.778507357482851e-51	32
geneComp_00093565	NECTIN2	NECTIN2	RGC	RO_D45	1.4309772859346294e-50	33
geneComp_00139868	H4C15	H4C15	RO_D209	RO_D45	1.7721990167275777e-49	34
geneComp_00056367	ADI1	ADI1	RGC	RO_D45	3.8523931118340264e-48	35
