sample	haplotype	mean_read_length
H9-BRN3B_hRO_2	h1	2353.13124641712
H9-BRN3B_hRO_2	h2	2339.62538182672
H9-BRN3B-RO	h1	2307.72379143263
H9-BRN3B-RO	h2	2313.05376563799
H9-CRX_hRO_2	h1	2348.80841727135
H9-CRX_hRO_2	h2	2326.06855932715
H9-CRX_ROs_D45	h1	2170.21136690657
H9-CRX_ROs_D45	h2	2147.11890074448
EP1-WT_ROs_D45	h1	2629.55842950929
EP1-WT_ROs_D45	h2	2572.69979197783
EP1-BRN3B-RO	h1	2432.68895053776
EP1-BRN3B-RO	h2	2412.61707779046
EP1-WT_hRO_2	h1	2280.13486972713
EP1-WT_hRO_2	h2	2241.78719454119
H9-FT_1	h1	2803.89404668137
H9-FT_1	h2	2785.88851542328
H9-FT_2	h1	2755.89713396418
H9-FT_2	h2	2730.25638565215
H9-hRGC_1	h1	2517.77799336586
H9-hRGC_1	h2	2507.8330624885
H9-hRGC_2	h1	2716.87902831145
H9-hRGC_2	h2	2691.86301657769
