"gene","logFC","logCPM","F","PValue","FDR"
"ENSG00000122483",4.51726388255541,4.58853540442468,1010.39247801513,1.28143484765455e-13,8.78915203877439e-10
"ENSG00000169862",4.29978328280185,6.5134284262724,974.350214414296,1.59203871885571e-13,8.78915203877439e-10
"ENSG00000099954",5.46154054254058,5.54622750079781,950.953384195815,1.87982403518368e-13,8.78915203877439e-10
"ENSG00000075151",3.80755181232615,7.6477285011742,855.737016019626,3.63017011001034e-13,8.78915203877439e-10
"ENSG00000139746",3.82518628115499,5.76903923967638,842.646867673897,4.01157412309781e-13,8.78915203877439e-10
"ENSG00000133424",5.32023695231176,7.10276250114066,836.75401767254,4.19419459507432e-13,8.78915203877439e-10
"ENSG00000137177",4.46669173696925,5.72729296565694,807.95500935933,5.2479329721564e-13,8.78915203877439e-10
"ENSG00000117569",3.46352243839388,6.23858173526664,801.982388034588,5.48608247928582e-13,8.78915203877439e-10
"ENSG00000151687",5.39571641102018,3.73654344829,822.89815581348,5.48712322065549e-13,8.78915203877439e-10
"ENSG00000198648",4.91677046130612,4.96852024105151,696.528494085438,1.35734506337929e-12,1.95674864336758e-09
"ENSG00000109762",4.61517701427364,4.8859071115992,631.955741150428,2.50468730319155e-12,3.09424050477741e-09
"ENSG00000149657",5.73645668282581,3.37776393761833,662.983288534302,2.63535473179762e-12,3.09424050477741e-09
"ENSG00000163491",4.75978707269377,4.04824133149077,623.93129180678,2.79031122101181e-12,3.09424050477741e-09
"ENSG00000167522",2.96617596577725,6.72091538742505,612.313172806449,3.02746099787239e-12,3.11741983895203e-09
"ENSG00000145743",5.5698288080236,5.1719249102564,606.145169509483,3.29500239246298e-12,3.16671696598309e-09
"ENSG00000108100",4.03149912261664,5.85434044566312,589.298417226806,3.86351458223419e-12,3.17137826084581e-09
"ENSG00000135541",3.37928925820263,7.13358622841974,581.046928181808,4.21524578816271e-12,3.17137826084581e-09
"ENSG00000146872",3.68044524706471,5.726549091873,580.289507530426,4.2573961594831e-12,3.17137826084581e-09
"ENSG00000185842",4.42185728830479,6.09662454236581,574.484993286783,4.53718620421418e-12,3.17137826084581e-09
"ENSG00000007341",3.21668317444263,5.99918340619424,571.81978001424,4.66736616353973e-12,3.17137826084581e-09
"ENSG00000155313",4.43787818079947,4.7859155808576,560.633340075244,5.33032921702144e-12,3.17137826084581e-09
"ENSG00000161040",4.63299233801527,4.5220285361226,559.321199262945,5.446628378175e-12,3.17137826084581e-09
"ENSG00000100485",3.61636497804149,4.99646197114304,557.602113859132,5.48436766763283e-12,3.17137826084581e-09
"ENSG00000075711",4.91079638035192,7.93472768106206,557.178165071331,5.49430107684746e-12,3.17137826084581e-09
"ENSG00000083535",2.98871672151398,5.59048014683824,554.927252603538,5.63958523306038e-12,3.17137826084581e-09
"ENSG00000069018",6.70315401334525,4.15153428830581,584.136249298858,5.97685757649234e-12,3.17137826084581e-09
"ENSG00000048740",3.25563633230478,7.9162520624353,548.211827175519,6.08374395736372e-12,3.17137826084581e-09
"ENSG00000198840",5.6533857800004,8.33697250071765,545.009973762422,6.31723616912458e-12,3.17137826084581e-09
"ENSG00000015153",3.54504714998082,4.87344015444458,544.406310624442,6.37971486990347e-12,3.17137826084581e-09
"ENSG00000008086",4.20431897683491,5.73555399730137,536.138600250624,7.0173555549935e-12,3.37207325602621e-09
"ENSG00000157540",3.02362679513127,5.51520372530938,525.263826013222,7.97408375336677e-12,3.70820617382372e-09
