isoform_id	gene_name
ENST00000525451	CFL1
ENST00000308162	CFL1
ENST00000696123	TIMM17B
ENST00000300278	SON
ENST00000422453	CNBP
ENST00000356577	SON
ENST00000530797	RPLP2
ENST00000297564	COX6C
ENST00000517682	COX6C
ENST00000329235	AP1S2
ENST00000481435	SEC62
ENST00000376582	TIMM17B
ENST00000322776	NDUFV1
ENST00000440685	S100A13
ENST00000409197	DYNC1I2
ENST00000421834	DST
ENST00000647561	NDUFV1
ENST00000348990	APP
ENST00000456197	TRRAP
ENST00000242848	ZC3H13
ENST00000491632	ARID4B
ENST00000521545	LAPTM4B
ENST00000475836	RPL22L1
ENST00000283415	LPCAT1
ENST00000503252	LPCAT1
ENST00000644861	VPS13C
ENST00000373075	MEAF6
ENST00000337002	SEC62
ENST00000457942	CHCHD3
ENST00000367800	AHI1
ENST00000052569	GOPC
ENST00000340296	DYNC1I2
ENST00000269243	MYH10
ENST00000477442	SRSF3
ENST00000455976	DUT
ENST00000574428	ATPAF1
ENST00000562319	FBXL19
ENST00000605997	NDUFB1
ENST00000485081	DHX9
ENST00000476133	S100A13
ENST00000369622	SYNCRIP
ENST00000474100	PSMB4
ENST00000425778	SRSF7
ENST00000369842	EMD
ENST00000705945	RIMS2
ENST00000398125	ADD1
ENST00000335866	GRB10
ENST00000360631	DCLK1
BambuTx585	SRSF5
ENST00000357970	BIN1
