read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	1812305
2	2	856278
3	3	468698
4	4	295165
5	5	184236
6	6	122057
7	7	83154
8	8	56170
9	9	40101
10	10	28570
11	11	22071
12	12	16114
13	13	11986
14	14	9696
15	15	7536
16	16	5823
17	17	4381
18	18	3466
19	19	2840
20	20	2372
21	21	1795
22	22	1654
23	23	1275
24	24	1041
25	25	838
26	26	708
27	27	563
28	28	455
29	29	475
30	30	365
31	31	341
32	32	292
33	33	250
34	34	173
35	35	183
36	36	138
37	37	113
38	38	122
39	39	79
40	40	99
41	41	84
42	42	59
43	43	74
44	44	60
45	45	51
46	46	38
47	47	51
48	48	36
49	49	29
50	50	27
51	51	18
52	52	15
53	53	22
54	54	11
55	55	16
56	56	13
57	57	11
58	58	17
59	59	6
60	60	4
61	61	5
62	62	3
63	63	9
64	64	5
65	65	5
66	66	4
67	67	7
68	68	2
69	69	2
70	70	5
71	71	3
72	72	1
74	74	3
75	75	1
76	76	6
77	77	1
78	78	2
82	82	1
83	83	1
84	84	2
87	87	2
88	88	1
91	91	1
94	94	2
110	110	1
118	118	1
