read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	727327
2	2	318767
3	3	168990
4	4	98810
5	5	59170
6	6	37731
7	7	25197
8	8	16654
9	9	11786
10	10	8239
11	11	5993
12	12	4278
13	13	3250
14	14	2573
15	15	1946
16	16	1505
17	17	1163
18	18	886
19	19	729
20	20	587
21	21	400
22	22	371
23	23	315
24	24	226
25	25	191
26	26	172
27	27	156
28	28	107
29	29	119
30	30	104
31	31	75
32	32	48
33	33	54
34	34	45
35	35	44
36	36	52
37	37	27
38	38	35
39	39	27
40	40	20
41	41	16
42	42	24
43	43	7
44	44	11
45	45	6
46	46	14
47	47	10
48	48	4
49	49	2
50	50	4
51	51	5
52	52	2
53	53	4
54	54	4
55	55	6
56	56	5
57	57	1
58	58	3
60	60	4
62	62	1
64	64	1
66	66	1
67	67	1
69	69	1
76	76	4
77	77	1
99	99	1
102	102	1
