read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	2764326
2	2	1222598
3	3	660828
4	4	405568
5	5	252112
6	6	162589
7	7	113762
8	8	79140
9	9	55641
10	10	39856
11	11	30865
12	12	22554
13	13	16999
14	14	13486
15	15	10770
16	16	8771
17	17	7126
18	18	5255
19	19	4600
20	20	3900
21	21	2953
22	22	2421
23	23	2110
24	24	1736
25	25	1399
26	26	1135
27	27	1068
28	28	836
29	29	791
30	30	611
31	31	514
32	32	472
33	33	390
34	34	358
35	35	300
36	36	245
37	37	224
38	38	185
39	39	188
40	40	138
41	41	111
42	42	117
43	43	116
44	44	105
45	45	103
46	46	79
47	47	55
48	48	54
49	49	57
50	50	49
51	51	37
52	52	39
53	53	34
54	54	34
55	55	29
56	56	30
57	57	21
58	58	12
59	59	18
60	60	12
61	61	19
62	62	14
63	63	11
64	64	13
65	65	10
66	66	12
67	67	15
68	68	6
69	69	2
70	70	8
71	71	11
72	72	3
73	73	7
74	74	8
75	75	6
76	76	5
77	77	3
78	78	5
79	79	4
80	80	5
81	81	6
82	82	3
83	83	1
84	84	2
86	86	1
87	87	1
88	88	2
89	89	2
90	90	1
91	91	3
92	92	1
93	93	1
94	94	1
95	95	2
96	96	1
97	97	1
99	99	2
101	101	1
102	102	1
103	103	1
105	105	2
118	118	2
