isoform_id	gene_id	gene_name	iso_value_1	iso_value_2	IF1	IF2
BambuTx602	BambuGene17622	NA	0	1.7250050000000001	NA	1
BambuTx623	BambuGene18622	NA	0	0.5331400000000001	NA	1
BambuTx587	BambuGene20615	NA	0.770025	0	0.3646	0
BambuTx407	BambuGene27302	NA	0.36800499999999997	0	1	NA
BambuTx427	BambuGene28657	NA	1.45751	0	1	NA
BambuTx419	BambuGene28899	NA	0.7532099999999999	0	1	NA
BambuTx610	BambuGene31497	NA	0	0.329365	NA	1
BambuTx80	BambuGene3960	NA	0.572075	0	1	NA
BambuTx137	BambuGene8804	NA	0.873965	0	1	NA
BambuTx619	BambuGene9650	NA	0	0.24453	NA	1
ENST00000496771.5	ENSG00000000003	TSPAN6	0.060585	0	0.00105	0
ENST00000612152.4	ENSG00000000003	TSPAN6	0.07976	0	0.0014	0
ENST00000681979.1	ENSG00000000419	DPM1	0	0.08094	0	0.00225
ENST00000682754.1	ENSG00000000419	DPM1	0	0.116915	0	0.00325
ENST00000367772.8	ENSG00000000457	SCYL3	0.10955	0	0.0224	0
ENST00000367770.5	ENSG00000000457	SCYL3	0.7435	0	0.10685	0
ENST00000466580.6	ENSG00000000460	FIRRM	0	0.366755	0	0.10125
ENST00000472795.5	ENSG00000000460	FIRRM	0	0.370015	0	0.10215
ENST00000399173.5	ENSG00000000938	FGR	0.060545	0	0.4579	0
ENST00000630130.2	ENSG00000000971	CFH	0.06038	0	1	NA
ENST00000451668.1	ENSG00000001036	FUCA2	0	0.250415	0	0.0155
ENST00000367585.1	ENSG00000001036	FUCA2	0.06657	0	0.00425	0
ENST00000514373.3	ENSG00000001084	GCLC	0	0.049015	0	0.00375
ENST00000616923.5	ENSG00000001084	GCLC	6.5611	0	0.2885	0
ENST00000515580.1	ENSG00000001084	GCLC	0	0.3987	0	0.04035
ENST00000438866.1	ENSG00000001460	STPG1	0.092945	0	0.0157	0
ENST00000435187.1	ENSG00000001460	STPG1	0.066115	0	0.0086	0
ENST00000483261.1	ENSG00000001460	STPG1	0.126495	0	0.0188	0
ENST00000475760.1	ENSG00000001460	STPG1	0.06038	0	0.0102	0
ENST00000358028.8	ENSG00000001461	NIPAL3	0.14817	0	0.00675	0
ENST00000488155.1	ENSG00000001461	NIPAL3	0.36299	0	0.01655	0
ENST00000677969.1	ENSG00000001497	LAS1L	0	0.048215	0	0.0019
ENST00000678823.1	ENSG00000001497	LAS1L	0.157885	0	0.00535	0
ENST00000679116.1	ENSG00000001497	LAS1L	0	0.15389	0	0.006
ENST00000678705.1	ENSG00000001497	LAS1L	0	0.21941	0	0.00855
ENST00000414301.5	ENSG00000001617	SEMA3F	0	0.041875	0	0.0024
ENST00000468795.1	ENSG00000001626	CFTR	0.020125	0	0.16665	0
ENST00000693465.2	ENSG00000001626	CFTR	0	0.08151	0	0.1333
ENST00000699596.1	ENSG00000001626	CFTR	0	0.07144	0	0.1169
ENST00000649406.1	ENSG00000001626	CFTR	0.020125	0	0.16665	0
ENST00000692802.2	ENSG00000001626	CFTR	0	0.040755	0	0.0667
ENST00000413588.1	ENSG00000001629	ANKIB1	0	0.053575	0	0.00145
ENST00000439883.1	ENSG00000001629	ANKIB1	0.26445	0	0.0095	0
ENST00000486698.1	ENSG00000001629	ANKIB1	0	0.040755	0	0.0011
ENST00000686094.1	ENSG00000001631	KRIT1	0.228335	0	0.00695	0
ENST00000444960.6	ENSG00000001631	KRIT1	0.40597	0	0.0125	0
ENST00000452773.6	ENSG00000001631	KRIT1	0.09699	0	0.00295	0
ENST00000686149.1	ENSG00000001631	KRIT1	0	2.25573	0	0.0678
ENST00000686619.1	ENSG00000001631	KRIT1	0.27369	0	0.0083	0
ENST00000693563.1	ENSG00000001631	KRIT1	0.39682	0	0.01205	0
ENST00000686785.1	ENSG00000001631	KRIT1	0	0.13073	0	0.0046
ENST00000412043.6	ENSG00000001631	KRIT1	0	0.834995	0	0.027200000000000002
ENST00000692690.1	ENSG00000001631	KRIT1	0	0.270065	0	0.0095
ENST00000687517.1	ENSG00000001631	KRIT1	0.659305	0	0.0204	0
ENST00000691239.1	ENSG00000001631	KRIT1	0	0.085345	0	0.003
ENST00000688404.1	ENSG00000001631	KRIT1	0.151805	0	0.0048	0
ENST00000433016.6	ENSG00000001631	KRIT1	0	0.091375	0	0.0032
ENST00000688665.1	ENSG00000001631	KRIT1	0.195165	0	0.00595	0
ENST00000425919.6	ENSG00000001631	KRIT1	0	0.04727	0	0.00165
ENST00000685285.1	ENSG00000001631	KRIT1	0.548355	0	0.01665	0
ENST00000394507.5	ENSG00000001631	KRIT1	1.68102	0	0.05295	0
ENST00000692428.1	ENSG00000001631	KRIT1	0	1.026155	0	0.0292
ENST00000691622.1	ENSG00000001631	KRIT1	0.14012	0	0.00435	0
ENST00000689082.1	ENSG00000001631	KRIT1	0	0.120755	0	0.00425
ENST00000688766.1	ENSG00000001631	KRIT1	0	0.117925	0	0.00415
ENST00000687876.1	ENSG00000001631	KRIT1	0.62915	0	0.0198	0
ENST00000688781.1	ENSG00000001631	KRIT1	0.21184	0	0.00645	0
ENST00000689789.1	ENSG00000001631	KRIT1	0.657825	0	0.0203	0
ENST00000543912.5	ENSG00000002016	RAD52	0.08449	0	0.0038	0
ENST00000542785.5	ENSG00000002016	RAD52	0.10115	0	0.0061	0
ENST00000542584.5	ENSG00000002016	RAD52	0.08219	0	0.0037	0
ENST00000228345.9	ENSG00000002016	RAD52	0	0.25725	0	0.01625
ENST00000535376.5	ENSG00000002016	RAD52	0	0.684655	0	0.0433
ENST00000463750.5	ENSG00000002016	RAD52	0	0.219415	0	0.00995
ENST00000452010.2	ENSG00000002079	MYH16	0	0.16302	NA	0.8
ENST00000425880.1	ENSG00000002079	MYH16	0	0.040755	NA	0.2
ENST00000492141.1	ENSG00000002330	BAD	0.24724999999999997	0	0.00605	0
ENST00000493798.1	ENSG00000002330	BAD	0	0.04128	0	9e-4
ENST00000544785.1	ENSG00000002330	BAD	0.060665	0	0.0015	0
ENST00000509583.1	ENSG00000002549	LAP3	0.06338	0	0.0029	0
ENST00000606142.5	ENSG00000002549	LAP3	0	0.230165	0	0.02185
ENST00000416793.6	ENSG00000002726	AOC1	0	0.122265	NA	1
