gene_id	logFC	logCPM	F	PValue	FDR	condition_1	condition_2	gene_name	gene_biotype	chromosome_name
ENSG00000197921	-12.257539557565321	9.5436535320379	157.81071131633018	1.4293598021546494e-9	2.3299926070170456e-7	H1	H2	HES5	protein_coding	1
ENSG00000102241	-9.182826295401922	8.053213028376609	610.269756972416	1.5137511560020277e-17	1.2954682393065353e-13	H1	H2	HTATSF1	protein_coding	X
ENSG00000133169	-9.022519244869622	8.63364721672014	156.3266648033973	9.768806116455746e-10	1.655474113755015e-7	H1	H2	BEX1	protein_coding	X
ENSG00000102144	-8.754040344789843	6.077020812513417	225.9399193144581	6.875117565524668e-13	3.268736451431117e-10	H1	H2	PGK1	protein_coding	X
ENSG00000102109	8.427271557813546	8.900864043090198	637.0181344838838	9.58657028238451e-18	1.2954682393065353e-13	H1	H2	PCSK1N	protein_coding	X
ENSG00000102225	-8.317717868972686	7.216667332191413	330.6228556558343	1.4069607885035604e-14	2.6757267617807712e-11	H1	H2	CDK16	protein_coding	X
ENSG00000147383	-8.035341278831266	5.402378749260737	276.2204779824158	6.039849203571737e-14	6.240708058761846e-11	H1	H2	NSDHL	protein_coding	X
ENSG00000125352	-7.8991222829887215	4.338566020475329	181.23874377763056	8.709142319862213e-10	1.52107836680369e-7	H1	H2	RNF113A	protein_coding	X
ENSG00000100554	-7.776077302547074	7.237071076039167	294.30118398837675	7.79739336707316e-14	6.240708058761846e-11	H1	H2	ATP6V1D	protein_coding	14
ENSG00000083097	7.679470804725049	5.050716726945382	324.4601612207429	1.1535105938492203e-14	2.4679359155404067e-11	H1	H2	DOP1A	protein_coding	6
ENSG00000179918	-7.536064907241452	5.463951030478464	252.21080889479452	1.5264968573237388e-13	9.331257217840399e-11	H1	H2	SEPHS2	protein_coding	16
ENSG00000142937	-7.327352305317802	5.70130139884187	103.23071008890288	6.07885827465341e-9	8.528339199095718e-7	H1	H2	RPS8	protein_coding	1
ENSG00000184905	-7.282233729506501	5.618903337716216	113.10296222494267	1.9403172089276926e-9	3.055379000558727e-7	H1	H2	TCEAL2	protein_coding	X
ENSG00000131080	-6.980824595966712	5.889775628486703	272.94762448572925	6.822746395736142e-14	6.240708058761846e-11	H1	H2	EDA2R	protein_coding	X
ENSG00000250349	-6.960338968851954	5.9199848009382805	60.82162935828814	8.296778246619304e-7	6.730220685741043e-5	H1	H2		protein_coding	X
ENSG00000160131	-6.88647576185796	6.973808163633253	361.0794978263704	3.805226433173604e-15	1.3026051126039882e-11	H1	H2	VMA21	protein_coding	X
ENSG00000204356	-6.699851965243242	7.754637881104039	304.8847592020285	3.05816554936477e-14	4.361963461910617e-11	H1	H2	NELFE	protein_coding	6
ENSG00000102409	-6.656593956138691	4.1270053413777035	203.14452092632973	1.3491133215411017e-12	6.076690424078289e-10	H1	H2	BEX4	protein_coding	X
ENSG00000204271	-6.454421058321716	3.9651347167717996	166.06082032337812	9.879431956609059e-12	3.381927147386413e-9	H1	H2	SPIN3	protein_coding	X
ENSG00000165169	6.377969687770555	6.866524559942713	148.84321204252367	3.4065801284868664e-10	7.288378184897651e-8	H1	H2	DYNLT3	protein_coding	X
