gene_id	logFC	logCPM	F	PValue	FDR	condition_1	condition_2	gene_name	gene_biotype	chromosome_name
ENSG00000197921	-12.977820219944032	9.022886052365624	87.10157310729316	3.2163571455735786e-4	0.020465118551538056	H1	H2	HES5	protein_coding	1
ENSG00000250349	-9.619229085866287	5.718713188211895	93.08880698798556	2.2582650463144198e-5	0.0024619404160966633	H1	H2		protein_coding	X
ENSG00000147383	-9.458427718738754	5.56037904130473	179.97348149440802	7.610565972631752e-8	2.5531255964160142e-5	H1	H2	NSDHL	protein_coding	X
ENSG00000102241	-9.213638085332173	8.065936870605007	387.2020155640474	3.2772530838523695e-11	2.804673189160858e-7	H1	H2	HTATSF1	protein_coding	X
ENSG00000083097	8.751827313733077	4.888966275467765	209.77953693652157	3.590409727662358e-8	1.647579795439766e-5	H1	H2	DOP1A	protein_coding	6
ENSG00000102144	-8.718094250658623	6.386802382442354	115.30573954087495	5.58320581923158e-7	1.0984155264593992e-4	H1	H2	PGK1	protein_coding	X
ENSG00000133169	-8.48747476925627	8.822198702898804	236.64823315840627	2.3277153441884772e-9	2.656078388741998e-6	H1	H2	BEX1	protein_coding	X
ENSG00000125352	-8.312456795989474	4.485432134659407	137.43241373784628	2.8142572982960283e-7	6.338003673373002e-5	H1	H2	RNF113A	protein_coding	X
ENSG00000102225	-8.089180808908123	7.02336489903663	134.68390437073015	2.874115781925063e-7	6.388748795250568e-5	H1	H2	CDK16	protein_coding	X
ENSG00000102109	8.046123768882737	8.696468444963346	506.3713722876016	5.792544861422988e-12	9.914519784811586e-8	H1	H2	PCSK1N	protein_coding	X
ENSG00000137818	-7.9529721400557225	4.147692156126658	65.614388521524	1.0265801847542648e-5	0.001291981356048088	H1	H2	RPLP1	protein_coding	15
ENSG00000179918	-7.861541988899462	5.551877126901042	147.5964479882207	1.4300350105512872e-8	8.741599728784227e-6	H1	H2	SEPHS2	protein_coding	16
ENSG00000102409	-7.847728914437486	4.076768057508223	124.50167126667954	4.520198143970961e-7	9.43508676002524e-5	H1	H2	BEX4	protein_coding	X
ENSG00000156298	-7.677303062080193	7.498823162244527	163.19890611806895	6.069952924473309e-8	2.164444046985107e-5	H1	H2	TSPAN7	protein_coding	X
ENSG00000100554	-7.563274988660192	7.534867757368045	328.5175213659343	9.408918069217582e-11	5.171203321199996e-7	H1	H2	ATP6V1D	protein_coding	14
ENSG00000204271	-7.421347422554349	3.705105669654266	92.64525002633557	1.8269907101781804e-6	3.03599737819512e-4	H1	H2	SPIN3	protein_coding	X
ENSG00000198680	7.1364948679873645	4.875693758663671	21.172917229316138	0.0018378850159335468	0.08594874298556991	H1	H2	TUSC1	protein_coding	9
ENSG00000184905	-7.002813155882074	5.909888107669898	100.28305407241153	5.462337082473597e-7	1.087132110507187e-4	H1	H2	TCEAL2	protein_coding	X
ENSG00000142937	-6.828486441987805	5.782837011817637	49.89435908696097	5.657489630841013e-5	0.0049441348971145166	H1	H2	RPS8	protein_coding	1
ENSG00000078596	6.705772993682787	3.1009246196977323	52.119073402318406	2.4672022502171744e-05	0.002639289607169822	H1	H2	ITM2A	protein_coding	X
ENSG00000179222	-6.678190748194494	3.093825000414307	41.66847593643955	6.434759766187032e-5	0.0053526118455172345	H1	H2	MAGED1	protein_coding	X
ENSG00000131080	-6.630024330875896	5.546629167158203	126.47709508029884	3.662064878476322e-8	1.647579795439766e-5	H1	H2	EDA2R	protein_coding	X
ENSG00000072501	-6.627974444455853	7.572183828665841	299.66523327861495	1.6925969106448188e-10	5.794097744519343e-7	H1	H2	SMC1A	protein_coding	X
ENSG00000168300	-6.618765101898463	7.75789353785053	205.48281782968948	3.3178534253039747e-9	3.3404928957354607e-6	H1	H2	PCMTD1	protein_coding	8
ENSG00000247746	-6.574269518177121	5.865686335369441	223.4881652122378	1.0855282230402378e-9	1.6359231952688636e-6	H1	H2	USP51	protein_coding	X
ENSG00000160131	-6.534020842385658	6.995275989933223	244.20294549403224	6.207070202182698e-10	1.1804468175617673e-6	H1	H2	VMA21	protein_coding	X
ENSG00000204356	-6.527834741261384	7.930882260633699	315.9054386090939	1.208507436597335e-10	5.171203321199996e-7	H1	H2	NELFE	protein_coding	6
ENSG00000004961	-6.475687815600246	4.924529488082325	118.33380143138496	5.470925296719172e-8	2.0808968306365633e-5	H1	H2	HCCS	protein_coding	X
ENSG00000185043	-6.443902041372575	2.935121404222963	49.20488195889386	3.167307933750499e-5	0.00315183968570195	H1	H2	CIB1	protein_coding	15
ENSG00000049768	6.35863932511543	4.172322864946394	90.24248306477693	2.729861664724921e-7	6.31409625046375e-5	H1	H2	FOXP3	protein_coding	X
ENSG00000182774	6.33621262800613	12.18358072388546	180.69501450873076	4.889152805549737e-9	4.4043547063047e-6	H1	H2	RPS17	protein_coding	15
