isoform_id	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype	condition_1	condition_2
ENST00000378823	-2.2034639313009845	5.933816683598218	305.662423491322	1.1805687574645173e-6	0.004967833331410689	ENSG00000113522	RAD50	protein_coding	RO_D100	RO_D45
ENST00000485081	6.7128229509626935	5.1038707471761	412.5114567459189	4.580376449531142e-7	0.004967833331410689	ENSG00000135829	DHX9	protein_coding_CDS_not_defined	RO_D100	RO_D45
ENST00000595796	4.79240743799683	5.740053768384294	345.5298735585965	8.019882132234715e-7	0.004967833331410689	ENSG00000017483	SLC38A5	protein_coding	RO_D100	RO_D45
ENST00000216392	2.397076377129165	5.791386830603041	173.0533892955354	7.008465137823475e-6	0.005060201066846843	ENSG00000100504	PYGL	protein_coding	RO_D100	RO_D45
ENST00000261366	-2.0521297832323073	5.980191931638445	232.85575443618515	2.775485522368223e-6	0.005060201066846843	ENSG00000113368	LMNB1	protein_coding	RO_D100	RO_D45
ENST00000266395	7.637106794671507	8.950995185438858	201.73563921901592	4.587275798106919e-6	0.005060201066846843	ENSG00000139053	PDE6H	protein_coding	RO_D100	RO_D45
ENST00000266674	-3.645519554322682	5.140439540132923	217.12186146705483	3.454966401423173e-6	0.005060201066846843	ENSG00000139292	LGR5	protein_coding	RO_D100	RO_D45
ENST00000304218	-1.8312738437612854	8.568141009802865	212.67441697321476	3.6859288464966747e-6	0.005060201066846843	ENSG00000168298	H1-4	protein_coding	RO_D100	RO_D45
ENST00000305454	3.3264481474645917	6.585795920601837	265.3741290486083	1.8417120416939229e-6	0.005060201066846843	ENSG00000169085	VXN	protein_coding	RO_D100	RO_D45
ENST00000333151	-4.915953025072699	5.0100573605848	186.73151276780615	5.531453058382941e-6	0.005060201066846843	ENSG00000276368	H2AC14	protein_coding	RO_D100	RO_D45
ENST00000338702	3.060168797497447	5.3382227538325715	168.48359738731915	7.615955344588879e-6	0.005060201066846843	ENSG00000189221	MAOA	protein_coding	RO_D100	RO_D45
ENST00000359611	-3.3164365770957285	5.585136830532326	180.96356316845873	6.099040220932065e-6	0.005060201066846843	ENSG00000278677	H2AC17	protein_coding	RO_D100	RO_D45
ENST00000359842	5.4748855740090905	6.719044083946825	178.06707992003234	6.564776443159869e-6	0.005060201066846843	ENSG00000143171	RXRG	protein_coding	RO_D100	RO_D45
ENST00000371464	4.21937448181684	4.896354668912072	168.82410688650796	7.568361445594361e-6	0.005060201066846843	ENSG00000138207	RBP4	protein_coding	RO_D100	RO_D45
ENST00000372950	-1.769105338816812	6.372139831377585	242.83838554209095	2.4333187342626425e-6	0.005060201066846843	ENSG00000213551	DNAJC9	protein_coding	RO_D100	RO_D45
ENST00000439211	-2.5824777696839605	5.1419423865832945	172.96749916898347	7.019285347329034e-6	0.005060201066846843	ENSG00000228716	DHFR	protein_coding	RO_D100	RO_D45
ENST00000495596	3.6351285829507525	6.547029963284772	204.99766442134936	4.13457333585881e-6	0.005060201066846843	ENSG00000135390	ATP5MC2	retained_intron	RO_D100	RO_D45
ENST00000613299	6.325032230692584	6.651411899918163	224.17844565947235	3.12597271306936e-6	0.005060201066846843	ENSG00000105392	CRX	protein_coding	RO_D100	RO_D45
ENST00000616661	4.646275986834901	6.954515270171398	176.93250937564432	6.541767310894555e-6	0.005060201066846843	ENSG00000162496	DHRS3	protein_coding	RO_D100	RO_D45
ENST00000377044	-1.9009000621850571	5.925229906212406	162.18147905943744	8.572301070805434e-6	0.00541083643589239	ENSG00000135048	CEMIP2	protein_coding	RO_D100	RO_D45
ENST00000225831	-3.0712028994755287	5.205995569224868	144.7029743946206	1.2200157567949912e-5	0.006405254100844556	ENSG00000108691	CCL2	protein_coding	RO_D100	RO_D45
ENST00000229264	4.293738242728382	8.505073725622104	138.20944653609106	1.4728649836729373e-5	0.006405254100844556	ENSG00000111664	GNB3	protein_coding	RO_D100	RO_D45
ENST00000242994	2.6507606607093446	6.336924365943289	135.39122635145546	1.4978541373568363e-5	0.006405254100844556	ENSG00000123307	NEUROD4	protein_coding	RO_D100	RO_D45
ENST00000259241	1.8603395955584894	6.099084061940484	129.48685536318197	1.7181895584537873e-5	0.006405254100844556	ENSG00000136720	HS6ST1	protein_coding	RO_D100	RO_D45
ENST00000263181	-1.9438143809258186	4.850808419598325	129.2683249300772	1.72713671302935e-5	0.006405254100844556	ENSG00000121621	KIF18A	protein_coding	RO_D100	RO_D45
ENST00000358117	2.2186658760143403	6.471400640357881	139.62940362521837	1.3620925205943217e-5	0.006405254100844556	ENSG00000066382	MPPED2	protein_coding	RO_D100	RO_D45
ENST00000371494	4.235672108995048	5.644090996100847	141.3976074592444	1.310226023914636e-5	0.006405254100844556	ENSG00000162383	SLC1A7	protein_coding	RO_D100	RO_D45
ENST00000372067	2.7163541321069733	6.851295989122579	130.8682031549409	1.66301773196928e-5	0.006405254100844556	ENSG00000112715	VEGFA	protein_coding	RO_D100	RO_D45
ENST00000374403	-2.0202125761350604	5.413037200396725	144.55332514405782	1.2239207407758519e-5	0.006405254100844556	ENSG00000090889	KIF4A	protein_coding	RO_D100	RO_D45
ENST00000444376	-1.3574056664502494	8.261658151027898	131.07059851927704	1.6551300860893268e-5	0.006405254100844556	ENSG00000153187	HNRNPU	protein_coding	RO_D100	RO_D45
ENST00000464961	1.538614977159655	6.1851497214981945	130.871070631241	1.6629056382465363e-5	0.006405254100844556	ENSG00000163539	CLASP2	retained_intron	RO_D100	RO_D45
ENST00000467843	1.5189113969941337	8.637316619806588	128.10392752838834	1.775854669910959e-5	0.006405254100844556	ENSG00000109046	WSB1	retained_intron	RO_D100	RO_D45
ENST00000527446	2.1665515639921793	5.124871618176501	133.30491211476755	1.5712298428493056e-5	0.006405254100844556	ENSG00000149273	RPS3	protein_coding	RO_D100	RO_D45
