"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC"
"1","isoComp_00140808","geneComp_00037838","ENST00000356175","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,11.7375577888972,13.2722218328274,10.2028937449671,0.630884856710051,1.45887330098143,-0.379104798333012,NA,0.1185125,0.10895,0.128075,0.019125,NA,NA,FALSE
"2","isoComp_00140809","geneComp_00037838","ENST00000358273","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,8.84668143012545,8.33080808788603,9.36255477236488,0.954083822141896,0.439055457800077,0.168255187522923,NA,0.0930375,0.06805,0.118025,0.049975,NA,NA,FALSE
"3","isoComp_00140810","geneComp_00037838","ENST00000422121","NF1","RGC","RO","NF1","protein_coding","nonsense_mediated_decay",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,1.16244937522452,1.53076244621062,0.794136304238418,0.277492318636527,0.237673040430159,-0.938132475501798,NA,0.0115125,0.0128,0.010225,-0.002575,NA,NA,TRUE
"4","isoComp_00140811","geneComp_00037838","ENST00000431387","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,4.18347926444492,4.94222234065675,3.42473618823309,0.54451223451923,0.676986327758723,-0.527876794671173,NA,0.0417625,0.040625,0.0429,0.002275,NA,NA,FALSE
"5","isoComp_00140812","geneComp_00037838","ENST00000456735","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,1.1956502186113,1.72708194580101,0.664218491421589,0.123387627675372,0.0668104212087087,-1.36537771294391,NA,0.0112625,0.014125,0.0084,-0.005725,NA,NA,FALSE
"6","isoComp_00140818","geneComp_00037838","ENST00000487476","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,3.71123609138373,4.86311809216874,2.55935409059872,0.424400447136527,0.417128294180601,-0.923439458158647,NA,0.036,0.04,0.032,-0.008,NA,NA,FALSE
"7","isoComp_00140822","geneComp_00037838","ENST00000493220","NF1","RGC","RO","NF1","protein_coding","retained_intron",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,4.34892916133162,5.79993916166415,2.8979191609991,0.446408268326445,0.502805298316763,-0.998535893173296,NA,0.042525,0.048125,0.036925,-0.0112,NA,NA,NA
"8","isoComp_00140823","geneComp_00037838","ENST00000495910","NF1","RGC","RO","NF1","protein_coding","nonsense_mediated_decay",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,10.7574261096098,13.7325969034727,7.78225531574682,1.22077874152291,0.809160310863181,-0.818541798645033,NA,0.105,0.111675,0.098325,-0.01335,NA,NA,TRUE
"9","isoComp_00140824","geneComp_00037838","ENST00000498569","NF1","RGC","RO","NF1","protein_coding","protein_coding_CDS_not_defined",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,2.62788587794993,3.53078022177393,1.72499153412592,0.552789458032755,0.293103447869461,-1.02913867440824,NA,0.025725,0.0297,0.02175,-0.00795,NA,NA,NA
"10","isoComp_00140825","geneComp_00037838","ENST00000577967","NF1","RGC","RO","NF1","protein_coding","retained_intron",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,5.00587062629463,6.64102606104489,3.37071519154436,0.584905425032957,0.248324942728391,-0.976248442458569,NA,0.048225,0.054,0.04245,-0.01155,NA,NA,NA
"11","isoComp_00140826","geneComp_00037838","ENST00000579081","NF1","RGC","RO","NF1","protein_coding","nonsense_mediated_decay",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,4.63501893330937,5.87450645970049,3.39553140691826,0.20913010655804,0.542458768411922,-0.7890414826106,NA,0.045425,0.0482,0.04265,-0.00555,NA,NA,TRUE
"12","isoComp_00140831","geneComp_00037838","ENST00000684826","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,1.72171345162951,2.03370773121056,1.40971917204846,0.217623636338675,0.277225336477242,-0.525583307266662,NA,0.0171125,0.0165,0.017725,0.001225,NA,NA,FALSE
"13","isoComp_00140832","geneComp_00037838","ENST00000684998","NF1","RGC","RO","NF1","protein_coding","retained_intron",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,2.55408186246027,3.50418723811256,1.60397648680799,0.546571482102254,0.303150605407944,-1.12257150020795,NA,0.0242875,0.028225,0.02035,-0.007875,NA,NA,NA
"14","isoComp_00140834","geneComp_00037838","ENST00000687027","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,2.48008974067196,2.72937902437136,2.23080045697256,0.355142268661514,0.361007180635148,-0.289834710450414,NA,0.025225,0.0223,0.02815,0.00585,NA,NA,FALSE
"15","isoComp_00140836","geneComp_00037838","ENST00000688507","NF1","RGC","RO","NF1","protein_coding","retained_intron",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,3.42311936073808,4.76916065996986,2.07707806150631,0.508311722088701,0.294195796028647,-1.19527270554424,NA,0.0326,0.03875,0.02645,-0.0123,NA,NA,NA
"16","isoComp_00140837","geneComp_00037838","ENST00000689464","NF1","RGC","RO","NF1","protein_coding","protein_coding",100.790782196954,122.319982929839,79.2615814640689,6.08091053261809,1.95787300586123,-0.625902386515658,NA,1.26188768492105,1.39750424698043,1.12627112286166,0.370758236822476,0.106061821695442,-0.308832161638535,NA,0.0126625,0.0111,0.014225,0.003125,NA,NA,FALSE
