"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC"
"1","isoComp_00095521","geneComp_00019351","ENST00000356175","NF1","RGC","RO","NF1","protein_coding","protein_coding",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,13.6059262199301,16.3609304831781,10.8509219566822,0.83228871486777,0.524012331640768,-0.591989748220258,NA,0.103175,0.105,0.10135,-0.00365,NA,NA,FALSE
"2","isoComp_00095522","geneComp_00019351","ENST00000358273","NF1","RGC","RO","NF1","protein_coding","protein_coding",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,10.7940907290833,10.8237272796478,10.7644541785187,0.113277607395763,0.369156596634487,-0.00791489313481052,NA,0.0849,0.0693,0.1005,0.0312,NA,NA,FALSE
"3","isoComp_00095523","geneComp_00019351","ENST00000422121","NF1","RGC","RO","NF1","protein_coding","nonsense_mediated_decay",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,1.69101107021735,2.01408415495663,1.36793798547806,0.79226150597681,0.318016770070349,-0.554758313362596,NA,0.01295,0.0132,0.0127,-5e-04,NA,NA,TRUE
"4","isoComp_00095524","geneComp_00019351","ENST00000431387","NF1","RGC","RO","NF1","protein_coding","protein_coding",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,4.4484060576684,5.15352183458243,3.74329028075438,0.926822907982487,0.676336773556687,-0.460199533693168,NA,0.0341,0.0333,0.0349,0.0016,NA,NA,FALSE
"5","isoComp_00095530","geneComp_00019351","ENST00000487476","NF1","RGC","RO","NF1","protein_coding","protein_coding",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,3.77150777873534,4.82164312503459,2.7213724324361,0.485680975481696,0.815316525767994,-0.82288785405133,NA,0.0283,0.03105,0.02555,-0.0055,NA,NA,FALSE
"6","isoComp_00095534","geneComp_00019351","ENST00000493220","NF1","RGC","RO","NF1","protein_coding","retained_intron",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,5.91600857591732,7.06398855144453,4.76802860039011,0.871874018331392,0.722965389232892,-0.566108394656388,NA,0.045075,0.0455,0.04465,-0.000850000000000004,NA,NA,NA
"7","isoComp_00095535","geneComp_00019351","ENST00000495910","NF1","RGC","RO","NF1","protein_coding","nonsense_mediated_decay",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,13.0724706566532,15.591594016465,10.5533472968414,1.56764621439608,1.65938864455241,-0.562626370844525,NA,0.0988,0.0992,0.0984,-0.000799999999999995,NA,NA,TRUE
"8","isoComp_00095536","geneComp_00019351","ENST00000498569","NF1","RGC","RO","NF1","protein_coding","protein_coding_CDS_not_defined",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,3.68949748264064,4.67800020822235,2.70099475705892,1.43149491055954,0.106241058835459,-0.790150310767491,NA,0.02785,0.03045,0.02525,-0.0052,NA,NA,NA
"9","isoComp_00095537","geneComp_00019351","ENST00000577967","NF1","RGC","RO","NF1","protein_coding","retained_intron",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,5.67600680019784,7.2747343259724,4.07727927442329,0.709687679065577,0.346494307011167,-0.833735535435829,NA,0.042225,0.0463,0.03815,-0.00815,NA,NA,NA
"10","isoComp_00095538","geneComp_00019351","ENST00000579081","NF1","RGC","RO","NF1","protein_coding","nonsense_mediated_decay",131.910952255931,156.766437999692,107.055466512169,8.81225454440749,1.52756270959876,-0.550215532189294,NA,4.73477946862984,5.85673732490479,3.6128216123549,0.428594363008136,1.04349259646553,-0.69544462949642,NA,0.035475,0.03735,0.0336,-0.00375,NA,NA,TRUE
