gene_id	ensembl_gene_name	isoform_id	logFC	FDR	isoform_switch_q_value	dIF
ENSG00000001167	NFYA	ENST00000353205.5	-1.24049850506956	0.00691218550626682	0.0321084553486998	0.17035
ENSG00000001167	NFYA	ENST00000341376.11	-1.24049850506956	0.00691218550626682	0.03186338912756015	-0.17035
ENSG00000001460	STPG1	ENST00000468303.5	1.31620634706281	0.0438729039839095	0.02961178442547686	-0.20165
ENSG00000004700	RECQL	ENST00000444129.7	-1.31955325983962	0.0439419629354531	0.04823727804859835	0.16504999999999992
ENSG00000005189	REXO5	ENST00000566993.5	-1.10471161955042	0.0147800995329832	0.00589002593652152	0.1015
ENSG00000005882	PDK2	ENST00000505897.5	-1.14559262759038	0.0117075353926673	0.03703277018226383	-0.10735
ENSG00000005882	PDK2	ENST00000503176.6	-1.14559262759038	0.0117075353926673	0.03596011826551423	0.1097999999999999
ENSG00000006634	DBF4	ENST00000265728.6	-1.72673453316301	0.00746449353639218	0.00784512900045868	0.2408
ENSG00000006634	DBF4	ENST00000413643.5	-1.72673453316301	0.00746449353639218	0.00263397545127854	-0.1227
ENSG00000007062	PROM1	ENST00000508167.5	2.12917853380395	0.0186985009185433	2.878849918363963e-5	0.38585
ENSG00000007062	PROM1	ENST00000539194.6	2.12917853380395	0.0186985009185433	3.343406614969728e-5	-0.10645000000000002
ENSG00000007062	PROM1	ENST00000540805.6	2.12917853380395	0.0186985009185433	1.8837681674394077e-8	-0.15674999999999997
ENSG00000007062	PROM1	ENST00000505450.5	2.12917853380395	0.0186985009185433	0.03247807714639639	0.20825000000000005
ENSG00000007062	PROM1	ENST00000447510.7	2.12917853380395	0.0186985009185433	3.8933189366931726e-12	-0.1582
ENSG00000008324	SS18L2	ENST00000447630.5	-0.788411526003628	0.0159425084952368	3.5113467471001066e-8	0.92625
ENSG00000008324	SS18L2	ENST00000011691.6	-0.788411526003628	0.0159425084952368	3.5113467471001066e-8	-0.92625
ENSG00000011426	ANLN	ENST00000396068.6	-2.11658319214771	0.00663188554399267	6.222990818598802e-4	0.35725000000000007
ENSG00000011426	ANLN	ENST00000265748.7	-2.11658319214771	0.00663188554399267	4.211947955154591e-4	-0.3181999999999999
ENSG00000011485	PPP5C	ENST00000391919.1	-0.865858024452909	0.0270859253075083	1.2182462110144106e-7	-0.1036
ENSG00000011485	PPP5C	ENST00000012443.9	-0.865858024452909	0.0270859253075083	0.00594813718189888	0.11164999999999992
ENSG00000021300	PLEKHB1	ENST00000354190.10	3.31561827704367	0.00229809142906573	2.205300984362323e-4	-0.36225000000000007
ENSG00000021300	PLEKHB1	ENST00000398492.8	3.31561827704367	0.00229809142906573	2.726597051034979e-4	-0.1562
ENSG00000021300	PLEKHB1	ENST00000227214.10	3.31561827704367	0.00229809142906573	6.485702781584423e-13	0.61865
ENSG00000023171	GRAMD1B	ENST00000533341.3	2.84597004455321	0.00688279892465118	1.812288071745465e-4	0.1289
ENSG00000023171	GRAMD1B	ENST00000635736.2	2.84597004455321	0.00688279892465118	4.180586176042633e-10	0.23815
ENSG00000033122	LRRC7	ENST00000651217.1	2.4764891802958	0.00507190008046391	0.02798751755805248	-0.1429
ENSG00000038274	MAT2B	ENST00000280969.9	-0.786211597988312	0.0408696316767088	2.183312356705466e-5	0.23265
ENSG00000038274	MAT2B	ENST00000321757.11	-0.786211597988312	0.0408696316767088	6.80046262661437e-14	-0.2329
ENSG00000039523	RIPOR1	ENST00000042381.9	0.968081443948474	0.0256721069611639	4.3580268783285263e-4	0.22055
ENSG00000040275	SPDL1	ENST00000508837.1	-1.83101246918485	0.00340862657294196	4.252193850766434e-6	-0.1369
ENSG00000040275	SPDL1	ENST00000510751.5	-1.83101246918485	0.00340862657294196	1.4469470857598242e-8	0.23269999999999996
ENSG00000042781	USH2A	ENST00000307340.8	5.4704194060893	0.00221198550467821	6.391845487132142e-9	-0.40670000000000006
ENSG00000047932	GOPC	ENST00000368498.7	-0.527265260230949	0.0469067318819718	0.02282981069192181	-0.35375
ENSG00000048545	GUCA1A	ENST00000679182.1	3.64880026741876	0.00302196976530619	1.4232728606368872e-4	0.40835
ENSG00000048545	GUCA1A	ENST00000372958.2	3.64880026741876	0.00302196976530619	1.4509007355154935e-4	-0.40835
ENSG00000049759	NEDD4L	ENST00000382850.8	1.89877938965936	0.00942955892859906	9.184546020207084e-4	0.24105
ENSG00000049759	NEDD4L	ENST00000617539.1	1.89877938965936	0.00942955892859906	4.099511542746121e-5	-0.12155
ENSG00000064042	LIMCH1	ENST00000381753.8	1.20069230827153	0.0153469865739113	0.00765664035578441	0.22175
ENSG00000064309	CDON	ENST00000684078.1	-1.26745676993655	0.0348463058736297	0.02239603559345787	0.12265
ENSG00000064489	BORCS8-MEF2B	ENST00000602804.5	1.76903019342116	0.0218596440755887	0.00105278362541067	0.48755
ENSG00000066855	MTFR1	ENST00000262146.9	1.55276426282601	0.026277191681814	0.01899977134626964	0.1899500000000001
ENSG00000069966	GNB5	ENST00000261837.12	2.08139363787078	0.00465495627309779	9.638410082993507e-14	-0.13850000000000007
ENSG00000069966	GNB5	ENST00000358784.11	2.08139363787078	0.00465495627309779	1.6507158400143165e-13	0.1346
ENSG00000070214	SLC44A1	ENST00000374723.5	1.47969272035619	0.0182805800018783	5.54021441291168e-15	-0.17575000000000002
ENSG00000070214	SLC44A1	ENST00000374720.8	1.47969272035619	0.0182805800018783	1.3163000186888964e-9	0.23765000000000003
ENSG00000070501	POLB	ENST00000265421.9	-0.660115895334981	0.0292250275066683	0.03212669062821497	-0.22275
ENSG00000070961	ATP2B1	ENST00000428670.8	1.04206859243393	0.0072326615038571	0.02009084979663527	-0.11969999999999996
ENSG00000070961	ATP2B1	ENST00000551310.2	1.04206859243393	0.0072326615038571	0.02009084979663527	0.12069999999999992
ENSG00000071655	MBD3	ENST00000590550.6	-0.874830448083051	0.0288563657514932	0.01960346828543156	-0.1143
ENSG00000071655	MBD3	ENST00000434436.8	-0.874830448083051	0.0288563657514932	2.095173462101154e-5	0.17545000000000002
