gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2
ENSG00000283782	ENSG00000283782.2	5.569947781055349	6.049300165188985	523.7683762288138	2.5037185605201726e-8	4.249060769058785e-4		protein_coding	Stage_1	Stage_2
ENSG00000017483	ENSG00000017483.16	4.873233187464815	6.784346668374613	267.6277617145697	3.1230203454893005e-7	6.885372576880631e-4	SLC38A5	protein_coding	Stage_1	Stage_2
ENSG00000117154	ENSG00000117154.12	4.90079796621754	4.698907664041022	262.977487261709	3.3341568644525314e-7	6.885372576880631e-4	IGSF21	protein_coding	Stage_1	Stage_2
ENSG00000139053	ENSG00000139053.3	7.60414459615069	8.228925010232418	284.28231394780187	2.492467791016763e-7	6.885372576880631e-4	PDE6H	protein_coding	Stage_1	Stage_2
ENSG00000143171	ENSG00000143171.13	5.627789566673607	6.536434046634069	249.49404711678326	4.057140166684716e-7	6.885372576880631e-4	RXRG	protein_coding	Stage_1	Stage_2
ENSG00000164318	ENSG00000164318.18	4.99393778842574	6.884780548978981	307.74633360866426	1.8524676241115503e-7	6.885372576880631e-4	EGFLAM	protein_coding	Stage_1	Stage_2
ENSG00000165521	ENSG00000165521.16	2.548495408938358	5.623242116215042	249.8312701817555	4.0367712939808133e-7	6.885372576880631e-4	EML5	protein_coding	Stage_1	Stage_2
ENSG00000168843	ENSG00000168843.14	5.2696738293259004	8.16970353381148	260.2863036503856	3.46459579308981e-7	6.885372576880631e-4	FSTL5	protein_coding	Stage_1	Stage_2
ENSG00000169085	ENSG00000169085.14	3.2522587176197044	6.384019725536313	275.3959051501128	2.806542238304858e-7	6.885372576880631e-4	VXN	protein_coding	Stage_1	Stage_2
ENSG00000290147	ENSG00000290147.1	9.545900023349711	7.2707685099123	317.3857137373259	1.6503277067238114e-7	6.885372576880631e-4	GUCA1ANB-GUCA1A	protein_coding	Stage_1	Stage_2
ENSG00000162496	ENSG00000162496.9	4.6127011571495125	6.5454867376035315	236.68181055486724	4.937100127108392e-7	7.617047841559683e-4	DHRS3	protein_coding	Stage_1	Stage_2
ENSG00000082126	ENSG00000082126.18	5.3198889062119505	7.075114768255806	227.89882353110863	5.682585022519553e-7	8.036595868098278e-4	MPP4	protein_coding	Stage_1	Stage_2
ENSG00000113522	ENSG00000113522.14	-2.150962198531591	5.86325197807093	207.59673993870464	8.034290674800008e-7	9.739281931573638e-4	RAD50	protein_coding	Stage_1	Stage_2
ENSG00000123307	ENSG00000123307.4	2.59014423797876	5.860405370025561	208.14428032036403	7.95623372597787e-7	9.739281931573638e-4	NEUROD4	protein_coding	Stage_1	Stage_2
ENSG00000105392	ENSG00000105392.17	4.233727965371912	8.178384436030615	200.99338989829153	9.056332492752054e-7	0.0010246334582299675	CRX	protein_coding	Stage_1	Stage_2
ENSG00000111664	ENSG00000111664.11	3.873761398394916	7.964859560589353	192.60086853924554	1.0604393698653856e-6	0.0011247947841240913	GNB3	protein_coding	Stage_1	Stage_2
ENSG00000189221	ENSG00000189221.11	3.1017912961168252	5.43813144037505	185.40535706039657	1.2206227335855897e-6	0.0012185404948047672	MAOA	protein_coding	Stage_1	Stage_2
ENSG00000067057	ENSG00000067057.19	2.642310914625936	7.678606624459961	179.6815675182239	1.3703674605633857e-6	0.0012920281207345122	PFKP	protein_coding	Stage_1	Stage_2
ENSG00000116703	ENSG00000116703.14	5.070254145329236	7.237782452952247	172.58331220810132	1.589819446690647e-6	0.0012928319361574091	PDC	protein_coding	Stage_1	Stage_2
ENSG00000120500	ENSG00000120500.19	3.6774973719421715	5.825427050662315	172.29152872974794	1.5997566825352421e-6	0.0012928319361574091	ARR3	protein_coding	Stage_1	Stage_2
ENSG00000198570	ENSG00000198570.7	4.499996616115444	6.336390282873351	174.5434602246424	1.525042124544103e-6	0.0012928319361574091	RD3	protein_coding	Stage_1	Stage_2
ENSG00000092200	ENSG00000092200.13	3.8479204548065136	6.545960805440501	167.31376533812966	1.782016430575244e-6	0.0013172400150575669	RPGRIP1	protein_coding	Stage_1	Stage_2
ENSG00000104888	ENSG00000104888.10	3.6045174638131767	5.827372960656317	167.2327549369858	1.785193585900892e-6	0.0013172400150575669	SLC17A7	protein_coding	Stage_1	Stage_2
ENSG00000107099	ENSG00000107099.18	5.731471204949661	5.875367260105271	165.29430278828295	1.8633947899133415e-6	0.0013176530408174716	DOCK8	protein_coding	Stage_1	Stage_2
ENSG00000112041	ENSG00000112041.13	3.6256295076917366	6.732796778669176	162.36021851418536	1.9901721512191383e-6	0.0013510084631336	TULP1	protein_coding	Stage_1	Stage_2
ENSG00000102755	ENSG00000102755.13	4.350794009779071	6.3731740757068955	160.15859344443604	2.0925113095273823e-6	0.0013658465166918926	FLT1	protein_coding	Stage_1	Stage_2
ENSG00000100504	ENSG00000100504.17	2.4208201569168692	5.401209685729049	154.37264751319074	2.394954643685396e-6	0.001406056925316935	PYGL	protein_coding	Stage_1	Stage_2
ENSG00000177182	ENSG00000177182.11	-3.1005212218677083	6.19331856521877	154.2373359401049	2.4026663622763013e-6	0.001406056925316935	CLVS1	protein_coding	Stage_1	Stage_2
ENSG00000278677	ENSG00000278677.2	-3.754085835832784	5.167838986667018	156.70501056952338	2.266803848629449e-6	0.001406056925316935	H2AC17	protein_coding	Stage_1	Stage_2
ENSG00000138207	ENSG00000138207.15	4.083730812774041	4.1779938387459925	148.22516948459375	2.779345476354294e-6	0.0015215571638454428	RBP4	protein_coding	Stage_1	Stage_2
ENSG00000261210	ENSG00000261210.8	-5.5361040020113235	5.31691849284981	148.70853921796473	2.7464233524271965e-6	0.0015215571638454428	CLEC19A	protein_coding	Stage_1	Stage_2
ENSG00000176170	ENSG00000176170.14	-2.8938920467542633	5.23389442526522	145.99041111469296	2.9381906042911336e-6	0.001558251023294526	SPHK1	protein_coding	Stage_1	Stage_2
ENSG00000108387	ENSG00000108387.16	2.925266369317974	7.231566516744289	143.51908736665848	3.127426186114489e-6	0.0016083499940772422	SEPTIN4	protein_coding	Stage_1	Stage_2
ENSG00000102104	ENSG00000102104.9	6.850627491576776	5.772439757183616	139.38698257733685	3.4795419084308173e-6	0.0017047549680485983	RS1	protein_coding	Stage_1	Stage_2
ENSG00000112379	ENSG00000112379.9	2.639608106423417	5.308535769979	138.99173545045844	3.515787159371925e-6	0.0017047549680485983	ARFGEF3	protein_coding	Stage_1	Stage_2
