isoform_id	gene_name
ENST00000232424	HES1
ENST00000308162	CFL1
ENST00000399808	IFITM3
ENST00000224237	VIM
ENST00000515144	TRIO
ENST00000704566	TRPM3
ENST00000262493	GNAO1
ENST00000350051	BIRC5
ENST00000420428	CELF4
ENST00000221166	NEFM
ENST00000224784	ACTA2
ENST00000264426	GRIA2
ENST00000644861	VPS13C
ENST00000252486	APOE
ENST00000282441	YAP1
ENST00000380518	COL2A1
ENST00000342503	RTN1
ENST00000451137	CCN1
ENST00000362072	DRD2
ENST00000403681	HMGA2
BambuTx905	NA
ENST00000280979	AKAP6
ENST00000282928	ZIC1
ENST00000409161	SHANK2
ENST00000297268	COL1A2
ENST00000299610	MFAP4
ENST00000611653	GPX4
ENST00000305124	GAP43
ENST00000439696	ZFP36L1
ENST00000351559	MAPT
ENST00000266058	SLIT1
ENST00000440685	S100A13
ENST00000637923	TCF4
ENST00000607332	TSTD3
ENST00000271636	CGN
ENST00000388835	KRT18
ENST00000234396	ATP6V1B1
ENST00000249700	TMOD2
ENST00000252575	NCAN
ENST00000359546	CPLX2
ENST00000322776	NDUFV1
ENST00000304916	LRATD2
ENST00000361727	CNTNAP2
ENST00000359227	ELAVL3
ENST00000265770	STMN4
ENST00000358278	TPM1
ENST00000392951	TAGLN
ENST00000371250	PLPP3
ENST00000416167	IGF2
ENST00000507359	KCTD16
