isoform_id	EP1-BRN3B-RO	EP1-WT_ROs_D45	EP1-WT_hRO_2	H9-BRN3B-RO	H9-CRX_ROs_D45
ENST00000240185.8	257	380	163	184	306
ENST00000256649.9	3	11	2	2	10
ENST00000262662.5	8	9	4	7	10
ENST00000271850.11	1	13	0	2	10
ENST00000272217.7	314	215	99	276	302
ENST00000290583.9	96	94	74	114	74
ENST00000290585.8	38	6	22	45	6
ENST00000292180.8	4	3	3	2	3
ENST00000294623.8	45	77	30	36	70
ENST00000295006.6	38	24	10	17	31
ENST00000295598.10	809	492	166	820	470
ENST00000295640.9	50	74	16	38	71
ENST00000302291.9	58	78	54	50	88
ENST00000303635.12	189	112	147	250	73
ENST00000314163.12	1	5	0	0	2
ENST00000315144.14	43	46	15	18	45
ENST00000315913.9	36	29	8	33	17
ENST00000316156.8	19	29	9	16	33
ENST00000319653.14	59	36	31	69	51
ENST00000323144.12	6	0	2	10	0
ENST00000328159.9	2	11	4	5	7
ENST00000330188.13	39	43	16	34	35
ENST00000335282.5	1	27	3	1	12
ENST00000336230.10	20	19	29	4	39
ENST00000340370.10	39	43	28	43	29
ENST00000340990.10	467	272	137	556	370
ENST00000359856.11	20	13	9	30	14
ENST00000360840.9	299	466	175	288	470
ENST00000361735.4	19	19	5	13	28
ENST00000361745.10	11	8	1	9	9
ENST00000362007.6	45	48	14	27	38
ENST00000362019.7	1	0	1	3	0
ENST00000366535.4	164	334	164	157	341
ENST00000366690.5	40	20	3	22	30
ENST00000366716.1	186	32	71	216	66
ENST00000366718.5	715	6	171	818	13
ENST00000366728.6	135	82	44	185	97
ENST00000366760.5	1	0	1	6	2
ENST00000366923.8	586	531	410	696	424
ENST00000366971.9	126	147	141	171	142
ENST00000367534.5	84	85	19	61	106
ENST00000367577.7	53	71	31	33	61
ENST00000367595.4	200	202	91	185	188
ENST00000367677.3	2	1	10	7	11
ENST00000367879.9	17	35	12	8	36
ENST00000368300.9	167	107	86	103	89
ENST00000368428.1	10	9	8	6	2
ENST00000368431.7	20	21	15	20	31
ENST00000368530.7	2	6	15	5	2
ENST00000368531.6	35	25	16	34	13
ENST00000368533.8	89	118	16	38	111
ENST00000369461.3	17	4	9	7	7
ENST00000369464.7	1	2	0	0	1
ENST00000370035.8	25	48	5	33	43
ENST00000370197.5	18	100	18	26	44
ENST00000370198.5	21	110	29	23	52
ENST00000370206.9	623	751	176	425	535
ENST00000370321.8	11222	15990	10579	7898	13334
ENST00000370767.5	152	100	88	104	110
ENST00000370768.7	405	441	196	313	292
ENST00000370834.9	69	147	60	112	111
ENST00000370841.9	43	49	21	43	42
ENST00000371250.4	175	370	70	170	268
ENST00000371761.4	84	50	60	52	55
ENST00000372168.7	0	2	0	1	2
ENST00000372172.5	28	22	7	16	37
ENST00000372289.7	68	60	7	49	65
ENST00000372427.5	42	13	18	21	18
ENST00000372432.5	147	121	36	86	86
ENST00000372433.5	5	6	13	5	6
ENST00000372434.5	20	21	13	17	17
ENST00000373042.5	542	327	166	486	299
