Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
A_RO_D200 vs B_RO_D100	A3	A3 in isoform used less	127	127
A_RO_D200 vs C_RO_D45	A3	A3 in isoform used less	132	135
B_RO_D100 vs C_RO_D45	A3	A3 in isoform used less	258	258
A_RO_D200 vs B_RO_D100	A3	A3 in isoform used more	182	182
A_RO_D200 vs C_RO_D45	A3	A3 in isoform used more	112	115
B_RO_D100 vs C_RO_D45	A3	A3 in isoform used more	155	156
A_RO_D200 vs B_RO_D100	A5	A5 in isoform used less	171	174
A_RO_D200 vs C_RO_D45	A5	A5 in isoform used less	208	211
B_RO_D100 vs C_RO_D45	A5	A5 in isoform used less	248	248
A_RO_D200 vs B_RO_D100	A5	A5 in isoform used more	221	226
A_RO_D200 vs C_RO_D45	A5	A5 in isoform used more	239	247
B_RO_D100 vs C_RO_D45	A5	A5 in isoform used more	232	239
A_RO_D200 vs B_RO_D100	ATSS	ATSS in isoform used less	413	417
A_RO_D200 vs C_RO_D45	ATSS	ATSS in isoform used less	429	444
B_RO_D100 vs C_RO_D45	ATSS	ATSS in isoform used less	559	565
A_RO_D200 vs B_RO_D100	ATSS	ATSS in isoform used more	484	491
A_RO_D200 vs C_RO_D45	ATSS	ATSS in isoform used more	467	481
B_RO_D100 vs C_RO_D45	ATSS	ATSS in isoform used more	505	511
A_RO_D200 vs B_RO_D100	ATTS	ATTS in isoform used less	365	372
A_RO_D200 vs C_RO_D45	ATTS	ATTS in isoform used less	387	405
B_RO_D100 vs C_RO_D45	ATTS	ATTS in isoform used less	418	424
A_RO_D200 vs B_RO_D100	ATTS	ATTS in isoform used more	367	372
A_RO_D200 vs C_RO_D45	ATTS	ATTS in isoform used more	345	358
B_RO_D100 vs C_RO_D45	ATTS	ATTS in isoform used more	401	407
A_RO_D200 vs B_RO_D100	ES	ES in isoform used less	193	193
A_RO_D200 vs C_RO_D45	ES	ES in isoform used less	194	201
B_RO_D100 vs C_RO_D45	ES	ES in isoform used less	201	203
A_RO_D200 vs B_RO_D100	ES	ES in isoform used more	196	198
A_RO_D200 vs C_RO_D45	ES	ES in isoform used more	267	278
B_RO_D100 vs C_RO_D45	ES	ES in isoform used more	297	303
A_RO_D200 vs B_RO_D100	IR	IR in isoform used less	111	111
A_RO_D200 vs C_RO_D45	IR	IR in isoform used less	105	105
B_RO_D100 vs C_RO_D45	IR	IR in isoform used less	69	70
A_RO_D200 vs B_RO_D100	IR	IR in isoform used more	62	62
A_RO_D200 vs C_RO_D45	IR	IR in isoform used more	86	87
B_RO_D100 vs C_RO_D45	IR	IR in isoform used more	126	127
A_RO_D200 vs B_RO_D100	MEE	MEE in isoform used less	2	2
A_RO_D200 vs C_RO_D45	MEE	MEE in isoform used less	5	5
B_RO_D100 vs C_RO_D45	MEE	MEE in isoform used less	6	6
A_RO_D200 vs B_RO_D100	MEE	MEE in isoform used more	2	2
A_RO_D200 vs C_RO_D45	MEE	MEE in isoform used more	5	5
B_RO_D100 vs C_RO_D45	MEE	MEE in isoform used more	6	6
A_RO_D200 vs B_RO_D100	MES	MES in isoform used less	70	70
A_RO_D200 vs C_RO_D45	MES	MES in isoform used less	108	112
B_RO_D100 vs C_RO_D45	MES	MES in isoform used less	239	240
A_RO_D200 vs B_RO_D100	MES	MES in isoform used more	179	181
A_RO_D200 vs C_RO_D45	MES	MES in isoform used more	90	97
B_RO_D100 vs C_RO_D45	MES	MES in isoform used more	86	87
