isoform_id	ES	ES_genomic_start	ES_genomic_end	MEE	MEE_genomic_start	MEE_genomic_end	MES	MES_genomic_start	MES_genomic_end	IR	IR_genomic_start	IR_genomic_end	A5	A5_genomic_start	A5_genomic_end	A3	A3_genomic_start	A3_genomic_end	ATSS	ATSS_genomic_start	ATSS_genomic_end	ATTS	ATTS_genomic_start	ATTS_genomic_end	iso_ref	gene_ref	condition_1	condition_2	dIF	pvalue	padj	IF1	IF2
ENST00000264161.9	1	135968393	135968415	2	135916226;135920453	135916372;135920600	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	isoComp_00185130	geneComp_00073945	B_RO_D100	C_RO_D45	0.1490166666666667	1.1641547147888426e-4	0.002898123921296662	0.27513333333333334	0.42415
ENST00000264161.9	1	135968393	135968415	2	135916226;135920453	135916372;135920600	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	isoComp_00015656	geneComp_00004007	A_RO_D200	B_RO_D100	-0.14156666666666667	3.306930838147307e-4	0.00704112024933139	0.4167	0.27513333333333334
ENST00000264161.9	1	135968393	135968415	2	135916226;135920453	135916372;135920600	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	isoComp_00100393	geneComp_00038976	A_RO_D200	C_RO_D45	0.007450000000000012	0.8648368058534038	0.9511292245234308	0.4167	0.42415
ENST00000273435.9	1	150571465	150571585	1	150568176	150568292	0	NA	NA	0	NA	NA	1	150564381	150566074	0	NA	NA	0	NA	NA	0	NA	NA	isoComp_00028999	geneComp_00007555	A_RO_D200	B_RO_D100	0.1150500000000001	5.557038853817301e-5	0.0017271143312477285	0.79175	0.9068
ENST00000273435.9	1	150571465	150571585	1	150568176	150568292	0	NA	NA	0	NA	NA	1	150564381	150566074	0	NA	NA	0	NA	NA	0	NA	NA	isoComp_00198473	geneComp_00077493	B_RO_D100	C_RO_D45	-0.0706500000000001	0.08888299364777726	0.30680643863814056	0.9068	0.83615
ENST00000273435.9	1	150571465	150571585	1	150568176	150568292	0	NA	NA	0	NA	NA	1	150564381	150566074	0	NA	NA	0	NA	NA	0	NA	NA	isoComp_00113736	geneComp_00042524	A_RO_D200	C_RO_D45	0.044399999999999995	0.06645548837669263	0.26588040473898156	0.79175	0.83615
ENST00000299505.8	0	NA	NA	1	34299679	34300968	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	34211019	34211310	1	34356326;34400856	34356467;34402411	isoComp_00208304	geneComp_00080153	B_RO_D100	C_RO_D45	0.14311666666666667	7.133318070460832e-5	0.0019274094938859488	0.4043333333333333	0.54745
ENST00000299505.8	0	NA	NA	1	34299679	34300968	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	34211019	34211310	1	34356326;34400856	34356467;34402411	isoComp_00123567	geneComp_00045184	A_RO_D200	C_RO_D45	0.1412	0.004213969287646073	0.04388013210475805	0.40625	0.54745
ENST00000299505.8	0	NA	NA	1	34299679	34300968	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	34211019	34211310	1	34356326;34400856	34356467;34402411	isoComp_00038830	geneComp_00010215	A_RO_D200	B_RO_D100	-0.0019166666666666776	0.9706425165205912	0.9914027811480757	0.40625	0.4043333333333333
ENST00000306465.8	0	NA	NA	1	46588075	46588179	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	46617051	46617126	1	46580937	46581285	isoComp_00116394	geneComp_00043202	A_RO_D200	C_RO_D45	0.1883499999999999	0.0011558675310988622	0.017564507250139257	0.4244	0.6127499999999999
