isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000343067.9	8	12	14	112
ENST00000359947.9	54	31	2	37
ENST00000361525.7	1	1	3	8
ENST00000367537.7	10	5	5	19
ENST00000367589.3	41	33	34	82
ENST00000367590.9	60	55	152	545
ENST00000368471.8	55	52	20	206
ENST00000368474.9	23	18	5	9
ENST00000370558.8	50	37	0	4
ENST00000371733.8	11	14	0	13
ENST00000372405.1	0	0	2	2
ENST00000377093.9	84	74	27	41
ENST00000378567.8	63	61	6	57
ENST00000379370.7	104	89	4	12
ENST00000400921.6	1	0	12	79
ENST00000408911.8	3	6	4	57
ENST00000419169.5	5	2	7	5
ENST00000436724.5	7	5	2	8
ENST00000438120.5	55	35	2	11
ENST00000460378.1	5	1	1	8
ENST00000471371.5	14	27	5	25
ENST00000473578.5	211	227	45	266
ENST00000476163.5	11	10	2	18
ENST00000490738.5	62	54	17	64
ENST00000492630.2	14	15	12	41
ENST00000493793.2	12	7	14	116
ENST00000496447.5	2	2	1	2
ENST00000515829.6	16	11	1	0
ENST00000535010.5	4	1	0	3
ENST00000616170.4	1	3	3	6
ENST00000620552.4	5	2	2	12
ENST00000642937.2	1	4	1	12
ENST00000647103.1	10	14	3	3
ENST00000649022.2	2	0	0	8
ENST00000649408.2	3	1	1	1
ENST00000649674.1	7	12	2	20
ENST00000649724.1	1	7	0	8
ENST00000651234.1	1	1	2	15
ENST00000676179.1	184	166	234	734
ENST00000688051.1	5	6	9	44
ENST00000706288.1	2	2	0	6
ENST00000706292.1	9	2	3	9
ENST00000710284.1	3	0	6	16
transcript18799.chr1.nic	26	26	3	35
transcript20677.chr1.nnic	6	5	16	14
transcript32008.chr1.nic	9	16	1	31
transcript32023.chr1.nic	3	0	7	56
transcript32364.chr1.nic	11	5	3	5
transcript3535.chr1.nnic	3	3	2	2
transcript36172.chr1.nic	6	11	4	12
transcript46757.chr1.nnic	3	4	4	53
transcript46928.chr1.nic	7	9	5	8
transcript46999.chr1.nic	2	7	6	14
transcript5074.chr1.nic	7	7	1	20
transcript5308.chr1.nic	4	7	3	29
transcript5346.chr1.nic	46	52	96	379
transcript5511.chr1.nnic	10	3	1	8
transcript5557.chr1.nic	14	2	3	11
transcript5560.chr1.nic	9	13	5	24
transcript6589.chr1.nic	10	4	35	32
transcript6614.chr1.nic	14	22	17	5
transcript68245.chr1.nic	14	8	3	15
transcript68249.chr1.nic	5	6	0	12
transcript80674.chr1.nnic	1	2	4	9
transcript80758.chr1.nic	7	3	6	13
transcript80831.chr1.nic	14	15	14	23
transcript81016.chr1.nic	11	8	5	20
transcript81673.chr1.nic	11	12	2	36
transcript81686.chr1.nic	1	2	5	7
transcript90759.chr1.nic	7	8	7	8
transcript90797.chr1.nic	22	7	7	12
ENST00000261017.9	69	51	19	38
ENST00000261018.12	3	3	8	33
ENST00000302277.7	2	5	45	148
ENST00000305747.11	14	26	0	1
ENST00000306368.9	3	3	3	19
ENST00000316724.10	12	22	18	215
ENST00000348750.8	18	21	0	3
ENST00000357970.7	0	6	0	7
ENST00000361874.8	12	12	12	36
ENST00000392687.4	3	6	7	46
ENST00000393040.7	32	22	0	1
ENST00000405094.2	23	19	20	114
ENST00000407270.7	31	42	1	9
ENST00000409240.5	118	82	1	46
ENST00000409400.1	41	57	1	7
ENST00000409438.5	14	7	32	283
ENST00000409868.5	2	1	16	75
ENST00000430418.5	6	4	3	6
ENST00000440727.1	0	1	1	1
ENST00000441634.5	0	1	1	3
ENST00000443647.5	17	21	12	60
ENST00000443831.1	88	125	1	1
ENST00000454356.5	63	47	3	8
ENST00000456023.1	1	2	2	4
ENST00000462958.5	18	6	5	29
ENST00000475383.5	19	16	2	1
ENST00000482875.5	7	8	0	7
ENST00000649046.1	469	401	247	913
transcript29512.chr2.nic	4	6	1	36
transcript32072.chr2.nnic	54	36	2	2
transcript42621.chr2.nic	8	8	7	35
transcript42624.chr2.nnic	1	2	8	71
transcript42644.chr2.nic	12	16	0	4
transcript42656.chr2.nic	23	43	0	28
transcript52470.chr2.nnic	0	1	1	6
transcript52511.chr2.nic	11	11	6	23
transcript52514.chr2.nic	17	16	16	18
transcript52522.chr2.nnic	1	5	3	3
transcript52539.chr2.nic	2	4	3	10
transcript52578.chr2.nic	2	0	2	4
transcript53474.chr2.nic	8	6	6	31
transcript60045.chr2.nnic	3	4	10	7
ENST00000239940.12	75	123	184	1621
ENST00000295874.14	4	1	0	2
ENST00000296444.7	112	98	13	69
ENST00000313350.10	0	0	3	18
ENST00000399362.8	15	19	23	72
ENST00000426002.5	325	252	133	925
ENST00000426837.6	4	8	1	9
ENST00000439356.2	21	14	73	325
ENST00000452853.6	372	350	12	74
ENST00000461133.8	67	65	83	243
ENST00000464961.1	7	9	6	43
ENST00000474889.6	7	8	1	4
ENST00000475527.1	4	3	2	2
ENST00000485378.6	0	0	1	17
ENST00000487200.5	2	0	3	10
ENST00000495879.1	24	11	4	8
transcript10302.chr3.nic	4	5	18	120
transcript10799.chr3.nic	8	8	10	26
transcript11131.chr3.nic	36	21	22	89
transcript11349.chr3.nic	4	4	20	29
transcript11628.chr3.nnic	8	11	10	31
transcript11820.chr3.nic	16	3	23	43
transcript16062.chr3.nic	54	47	10	94
transcript16241.chr3.nic	22	32	17	50
transcript28264.chr3.nic	30	18	3	11
transcript28279.chr3.nnic	4	5	14	73
ENST00000226328.8	62	71	239	913
ENST00000313288.9	129	100	8	35
ENST00000341285.8	16	10	9	32
ENST00000381006.8	288	196	41	151
ENST00000409757.9	47	40	8	19
ENST00000412094.6	44	52	31	76
ENST00000448507.5	5	4	3	13
ENST00000451522.6	33	19	10	81
ENST00000507700.5	2	4	1	6
ENST00000612220.5	21	19	1	2
transcript17067.chr4.nic	28	26	13	114
transcript1822.chr4.nic	47	33	11	104
transcript5013.chr4.nnic	2	1	0	6
transcript5030.chr4.nnic	6	4	2	21
transcript6040.chr4.nnic	30	29	12	32
transcript6163.chr4.nic	5	5	1	6
transcript6363.chr4.nnic	63	73	2	4
transcript6365.chr4.nnic	34	33	0	4
ENST00000230901.9	22	17	8	40
ENST00000261413.10	38	19	4	20
ENST00000261947.4	52	75	32	264
ENST00000354546.10	29	25	1	7
ENST00000355572.6	170	183	64	378
ENST00000355841.7	253	187	1	4
ENST00000402931.5	11	9	5	57
ENST00000411594.6	6	6	3	3
ENST00000450756.5	8	3	5	6
ENST00000454473.5	35	31	2	8
ENST00000457646.9	4	4	2	8
ENST00000486828.6	12	10	3	10
ENST00000520911.5	90	106	14	73
ENST00000521901.5	120	124	49	170
ENST00000522208.6	42	60	87	337
ENST00000523487.1	6	5	3	10
ENST00000700367.1	77	62	3	10
transcript13322.chr5.nnic	12	7	0	9
transcript13703.chr5.nnic	87	60	256	563
transcript39834.chr5.nnic	4	5	6	32
transcript45584.chr5.nnic	48	12	0	0
transcript46060.chr5.nnic	37	0	24	2
transcript47892.chr5.nnic	5	10	7	12
ENST00000374467.4	38	26	0	1
ENST00000442998.6	1	0	4	22
transcript8170.chr6.nnic	1	1	1	1
ENST00000389574.7	4	4	5	17
ENST00000394893.5	4	12	4	22
ENST00000401592.6	2	3	0	1
ENST00000405266.5	9	4	1	6
ENST00000425407.6	5	1	0	4
ENST00000437425.7	12	10	0	4
ENST00000445866.7	2	1	0	0
ENST00000447873.6	22	19	0	7
ENST00000461988.6	79	63	6	111
ENST00000483996.1	9	8	1	7
ENST00000493973.1	51	62	30	67
ENST00000497943.1	8	4	1	8
ENST00000573035.6	35	23	20	123
ENST00000613513.1	16	21	21	51
ENST00000614986.4	87	50	3	31
ENST00000620879.4	56	48	3	12
ENST00000621734.4	3	4	3	36
ENST00000644551.1	1	2	0	0
ENST00000644816.1	4	7	5	44
ENST00000645262.1	0	0	0	5
ENST00000646098.1	3	7	0	0
ENST00000646137.1	0	0	0	4
ENST00000646489.1	24	25	1	2
transcript21027.chr7.nnic	4	2	0	33
transcript22334.chr7.nic	16	16	9	21
transcript309.chr7.nic	12	10	3	18
