gene_id	gene_name	H9-FT_1	H9-FT_2	H9-hRGC_1	H9-hRGC_2
ENSG00000007372	PAX6	256.000002720948	274.00000275159204	145.00000068374501	903.9999970945922
ENSG00000018189	RUFY3	538.0000031464621	376.0000019734721	172.000001002648	994.9999977166943
ENSG00000067606	PRKCZ	94.00000065942899	78.00000023028	21.000000402368	88.99999921067403
ENSG00000070087	PFN2	228.000002326296	283.00000272420004	117.000000918916	1369.9999981836684
ENSG00000085832	EPS15	28.000000394652	40.99999769271999	32.999999772440994	202.00000068205208
ENSG00000104529	EEF1D	78.00000087756301	64.99999949038401	22.999999757216997	202.99999894169406
ENSG00000105379	ETFB	243.000000763119	199.00000204450404	102.00000089608	707.9999957546802
ENSG00000112972	HMGCS1	133.000000321824	104.00000030704001	28.000000690823004	180.99999809241808
ENSG00000113657	DPYSL3	47.99999934559799	74.00000086602401	83.000000311558	553.9999971479642
ENSG00000125354	SEPTIN6	39.999999454664994	59.00000044400001	45.999999977430996	352.99999961769805
ENSG00000125991	ERGIC3	81.99999849386998	61.999999967192004	62.99999981811298	449.99999958194013
ENSG00000138443	ABI2	171.000000191949	135.999999430184	49.000000167197	233.0000005445381
ENSG00000139970	RTN1	65.000000472507	53.00000139761602	111.00000007638698	886.9999973278144
ENSG00000149591	TAGLN	180.999999667422	125.99999961651201	0	6.000001788211996
ENSG00000151150	ANK3	59.99999840561099	36.999999731496	55.000000083732	209.9999989895481
ENSG00000155849	ELMO1	7.99999833815999	13.999999177927997	5.999999916535	37.00000165069801
ENSG00000163539	CLASP2	56.00000078930401	52.99999999458401	65.00000056195299	274.00000012594813
ENSG00000167244	IGF2	850.0000051039409	701.0000050375202	5.000000007612	63.99999869032802
ENSG00000167553	TUBA1C	46.00000131383101	36.999999731496004	9.999999552226997	63.000000430686015
ENSG00000182287	AP1S2	108.999999096252	129.00000054273602	30.999999491597993	196.9999995995541
ENSG00000198363	ASPH	163.00000030101597	136.99999786821598	40.99999950682199	138.99999780529407
