isoform_id	EP1-WT_ROs_D45	H9-BRN3B_hRO_2	H9-CRX_ROs_D45	H9-CRX_hRO_2
transcript100701.chrM.nnic	3475	2188	4397	2104
transcript101511.chrM.nnic	197	1899	319	1250
transcript101863.chrM.nnic	259	184	462	253
transcript102223.chrM.nnic	93	131	111	174
transcript102255.chrM.nnic	573	139	481	101
transcript102430.chrM.nnic	192	619	1130	562
transcript95935.chrM.nnic	781	470	709	420
transcript97053.chrM.nnic	364	213	402	156
transcript98713.chrM.nnic	246	226	247	270
transcript98877.chrM.nnic	840	1271	1019	1088
transcript99457.chrM.nnic	1096	258	1350	273
transcript99516.chrM.nnic	2043	841	4034	662
transcript99838.chrM.nnic	140	132	205	117
