sample,stage,primary mapped alignments,supplementary alignments,total number of reads Q >= 10,Percent reads Q >= 10  that were primary mapped ,total number of reads pre FASTQ filtering,percent reads that were Q >= 10,,,,,
EP1-BRN3B-RO,3,28927964,16694077,29028732,99.65286806,35327603,82.17011497,,,,,
EP1-WT_hRO_2,2,11356136,6992720,11493898,98.8014336,15833931,72.59029991,,,,,
EP1-WT_ROs_D45,1,21990838,10333202,22018342,99.87508596,27803786,79.19188416,,,,,
H9-BRN3B_hRO_2,2,13850319,8107936,13952814,99.265417,18735944,74.47083531,,,,,
H9-BRN3B-RO,3,27949101,19861730,28050737,99.63767084,33104083,84.73497665,,,,,
H9-CRX_hRO_2,2,13413186,7222085,13522415,99.19223748,18494663,73.11522789,,,,,
H9-CRX_ROs_D45,1,23348845,11442701,23469344,99.48656852,29834419,78.66532946,,,,,
H9-FT_1,FT,12847729,6976019,12911269,99.50787177,15425756,83.69942452,,,,,
H9-FT_2,FT,12496020,6809666,12595798,99.20784693,14788905,85.17059241,,,,,
H9-hRGC_1,RGC,4681730,2861742,4715901,99.27540888,5609841,84.064789,,,,,
H9-hRGC_2,RGC,17167429,8384586,17270137,99.40528555,20264517,85.22353136,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
