ID	Description	Count	GeneRatio	geneID
GO:0000133	polarisome	0	0/1674	
GO:0000408	EKC/KEOPS complex	0	0/1674	
GO:0000417	HIR complex	0	0/1674	
GO:0000796	condensin complex	4	4/1674	NCAPG2/NCAPH/SMC4/NCAPD2
GO:0000808	origin recognition complex	1	1/1674	MCM2
GO:0000930	gamma-tubulin complex	2	2/1674	BLOC1S2/PDE4B
GO:0000939	inner kinetochore	5	5/1674	CENPH/CENPU/CENPO/CENPK/CENPM
GO:0000940	outer kinetochore	10	10/1674	BUB1/PLK1/SKA3/SPC24/BUB1B/NUF2/CCNB1/ZWINT/CENPF/NDC80
GO:0000974	Prp19 complex	0	0/1674	
GO:0001114	protein-DNA-RNA complex	0	0/1674	
GO:0001534	radial spoke	0	0/1674	
GO:0001535	radial spoke head	0	0/1674	
GO:0001536	radial spoke stalk	0	0/1674	
GO:0002096	polkadots	0	0/1674	
GO:0002133	polycystin complex	0	0/1674	
GO:0002142	stereocilia ankle link complex	0	0/1674	
GO:0002167	VRK3/VHR/ERK complex	0	0/1674	
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	0	0/1674	
GO:0002199	zona pellucida receptor complex	0	0/1674	
GO:0002929	MECO complex	0	0/1674	
GO:0005577	fibrinogen complex	2	2/1674	THBS1/FN1
GO:0005581	collagen trimer	23	23/1674	COL5A2/COL4A6/COL27A1/COL25A1/COL4A5/COL4A1/COL22A1/SCARA3/COL1A2/EDA/COLEC12/LUM/COL2A1/COL4A2/C1QTNF6/C1QL1/COL5A1/COL9A1/COL1A1/COL20A1/COL9A3/COL23A1/COL9A2
GO:0005602	complement component C1 complex	0	0/1674	
GO:0005616	larval serum protein complex	0	0/1674	
GO:0005663	DNA replication factor C complex	1	1/1674	RFC3
GO:0005667	transcription regulator complex	44	44/1674	MXD3/ONECUT3/POU3F1/PBX1/SOX2/MAF/NHLH2/FOSL1/INSM1/SMAD1/SMAD3/STAT6/PBXIP1/ATF3/POU4F2/TCF7L2/ANKRD1/CREG1/PRDM16/WTIP/SMAD6/YAP1/E2F5/BEX1/AJUBA/DACH2/CDK2/CCND1/HLF/CORO2A/GLI3/AHR/MED25/KLF5/RCOR1/REST/TEAD2/MTA3/HDAC9/TBPL1/DEPDC1/SNAPC1/WWTR1/TFAP2D
GO:0005831	steroid hormone aporeceptor complex	0	0/1674	
GO:0005833	hemoglobin complex	0	0/1674	
GO:0005838	proteasome regulatory particle	0	0/1674	
GO:0005850	eukaryotic translation initiation factor 2 complex	0	0/1674	
GO:0005851	eukaryotic translation initiation factor 2B complex	0	0/1674	
GO:0005852	eukaryotic translation initiation factor 3 complex	0	0/1674	
GO:0005853	eukaryotic translation elongation factor 1 complex	1	1/1674	EEF1A2
GO:0005854	nascent polypeptide-associated complex	1	1/1674	NACAD
GO:0005861	troponin complex	0	0/1674	
GO:0005862	muscle thin filament tropomyosin	2	2/1674	TPM2/TPM1
GO:0005875	microtubule associated complex	32	32/1674	DCTN1/KIF18B/AURKB/KIF5C/MAP1A/DYNLT3/PEA15/LRP8/KIF5A/DYNLT1/TTBK1/DYNC1LI1/KIF2C/KIF11/KIF23/MAP1B/KIF3A/KIF18A/KIF14/KIF21B/KIF20A/KIF3B/HAUS4/KIF4A/BIRC5/KIF16B/AURKA/KIF3C/KIF22/MAP2/DCX/EML1
GO:0005885	Arp2/3 protein complex	0	0/1674	
GO:0005931	axonemal nexin link	0	0/1674	
GO:0008091	spectrin	1	1/1674	SPTBN4
GO:0008278	cohesin complex	1	1/1674	SGO2
GO:0008290	F-actin capping protein complex	1	1/1674	ADD2
GO:0008537	proteasome activator complex	0	0/1674	
GO:0008540	proteasome regulatory particle, base subcomplex	0	0/1674	
GO:0008541	proteasome regulatory particle, lid subcomplex	0	0/1674	
GO:0015627	type II protein secretion system complex	0	0/1674	
GO:0016272	prefoldin complex	0	0/1674	
GO:0016459	myosin complex	10	10/1674	MYO5A/MYO1D/MYO5B/MYO10/CGN/MYO1F/MYO5C/MYL9/MYO3A/MYO16
GO:0017102	methionyl glutamyl tRNA synthetase complex	0	0/1674	
GO:0018444	translation release factor complex	0	0/1674	
GO:0019035	viral integration complex	0	0/1674	
GO:0019036	viral transcriptional complex	0	0/1674	
GO:0019773	proteasome core complex, alpha-subunit complex	0	0/1674	
GO:0019774	proteasome core complex, beta-subunit complex	0	0/1674	
GO:0019814	immunoglobulin complex	0	0/1674	
GO:0022623	proteasome-activating nucleotidase complex	0	0/1674	
GO:0022624	proteasome accessory complex	0	0/1674	
GO:0030076	light-harvesting complex	0	0/1674	
GO:0030080	B875 antenna complex	0	0/1674	
GO:0030081	B800-820 antenna complex	0	0/1674	
GO:0030082	B800-850 antenna complex	0	0/1674	
GO:0030256	type I protein secretion system complex	0	0/1674	
GO:0030257	type III protein secretion system complex	0	0/1674	
GO:0030314	junctional membrane complex	1	1/1674	JPH4
GO:0030990	intraciliary transport particle	0	0/1674	
GO:0030991	intraciliary transport particle A	0	0/1674	
GO:0030992	intraciliary transport particle B	0	0/1674	
GO:0030993	axonemal heterotrimeric kinesin-II complex	0	0/1674	
GO:0031074	nucleocytoplasmic transport complex	0	0/1674	
GO:0031105	septin complex	2	2/1674	SEPTIN5/SEPTIN3
GO:0031209	SCAR complex	2	2/1674	WASF2/CYFIP2
GO:0031251	PAN complex	0	0/1674	
GO:0031389	Rad17 RFC-like complex	0	0/1674	
GO:0031395	bursicon neuropeptide hormone complex	0	0/1674	
GO:0031511	Mis6-Sim4 complex	1	1/1674	CENPO
GO:0031521	spitzenkorper	0	0/1674	
GO:0031680	G-protein beta/gamma-subunit complex	0	0/1674	
GO:0031838	haptoglobin-hemoglobin complex	0	0/1674	
GO:0031941	filamentous actin	4	4/1674	LDB3/DPYSL3/MYO3A/CARMIL1
GO:0032300	mismatch repair complex	0	0/1674	
GO:0032311	angiogenin-PRI complex	0	0/1674	
GO:0032766	NHE3/E3KARP/ACTN4 complex	0	0/1674	
GO:0032992	protein-carbohydrate complex	0	0/1674	
GO:0032993	protein-DNA complex	117	117/1674	H3C2/ERCC6/SCRT2/MXD3/OLIG2/ONECUT3/DPF3/FANK1/RORB/TGM2/HMGN2/HMGN5/H2AX/H1-2/FANCM/TSPYL4/MITF/MYT1L/POU3F1/PBX1/H1-5/CREB3L2/FANCB/SOX2/ATOH7/ZHX2/MAF/NHLH2/NR2C2/TGIF1/PAWR/BASP1/FOSL1/BNC2/NHLH1/ENC1/SMAD1/ONECUT1/CHAF1A/SMAD3/STAT6/PLK1/TERF2IP/FAM111A/OTX2/CITED2/EBF1/HMGB2/PBXIP1/ATF3/NFIA/ZNF385A/ELK4/POU4F2/NPAS3/FOXO1/HMGA2/TCF7L2/NFIB/CDCA5/CREB5/PLK2/CSRNP1/FANCD2/ANP32E/BARHL2/NFIC/MYOCD/FOXN4/ETV6/SMAD6/TFAP2A/DSCC1/PHC2/DDB2/MYCN/MEIS2/BHLHE40/E2F5/PCNA/RPA1/HIF3A/HELLS/VSX2/ONECUT2/TGIF2/CENPF/PROX1/DLX2/HES1/KAT2B/MCM3/TIMELESS/RAD51AP1/FOXM1/HLF/EBF3/GATA3/LHX2/AHR/TFEC/ERF/MCM4/KLF5/GINS1/MCM5/KIF22/JADE1/ACTL6B/MCM6/TEAD2/MCM2/MTA3/POU2F2/ISL1/TFAP2D/ETV1
GO:0032994	protein-lipid complex	2	2/1674	APOE/LSR
GO:0033061	DNA recombinase mediator complex	2	2/1674	XRCC2/RAD51B
GO:0033104	type VI protein secretion system complex	0	0/1674	
GO:0033186	CAF-1 complex	1	1/1674	CHAF1A
GO:0033193	Lsd1/2 complex	0	0/1674	
GO:0033551	monopolin complex	0	0/1674	
GO:0033596	TSC1-TSC2 complex	0	0/1674	
GO:0034044	exomer complex	0	0/1674	
GO:0034270	Cvt complex	0	0/1674	
GO:0034464	BBSome	0	0/1674	
GO:0034748	Par3-APC-KIF3A complex	0	0/1674	
GO:0034749	Scrib-APC complex	0	0/1674	
GO:0034750	Scrib-APC-beta-catenin complex	0	0/1674	
GO:0034973	Sid2-Mob1 complex	0	0/1674	
GO:0034996	RasGAP-Fyn-Lyn-Yes complex	0	0/1674	
GO:0035649	Nrd1 complex	0	0/1674	
GO:0035658	Mon1-Ccz1 complex	0	0/1674	
GO:0035693	NOS2-CD74 complex	0	0/1674	
GO:0035859	Seh1-associated complex	0	0/1674	
GO:0036038	MKS complex	1	1/1674	B9D1
GO:0036284	tubulobulbar complex	1	1/1674	DNM3
GO:0036286	eisosome filament	0	0/1674	
GO:0036375	Kibra-Ex-Mer complex	0	0/1674	
GO:0036398	TCR signalosome	0	0/1674	
GO:0036452	ESCRT complex	0	0/1674	
GO:0036454	growth factor complex	1	1/1674	IGFBP5
GO:0036501	UFD1-NPL4 complex	0	0/1674	
GO:0038045	large latent transforming growth factor-beta complex	0	0/1674	
GO:0038059	IKKalpha-IKKalpha complex	0	0/1674	
GO:0039658	TBK1-IKKE-DDX3 complex	0	0/1674	
GO:0042555	MCM complex	5	5/1674	MCM3/MCM4/MCM5/MCM6/MCM2
