ID	Description	Count	GeneRatio	geneID
GO:0019953	sexual reproduction	82	82/1674	SELENOP/XRCC2/FSIP2/H2AX/FANCM/PRKG1/CIB1/IMMP2L/RAD51B/SSTR2/NECTIN3/NR2C2/FOSL1/BCL2/SMAD1/CDK1/CRTAP/AXL/PLK1/PTTG1/HMGB2/PLB1/SGO2/IGSF8/SPTBN4/CELF3/CDC25C/CCNB2/ADAMTS1/CXADR/UCHL1/MERTK/GJA1/POU4F2/DIAPH2/FANCD2/NUF2/P3H4/MFGE8/BRCA2/ETV6/BMPR1B/LHCGR/STXBP1/BRIP1/B4GALNT1/PHC2/FST/RPA1/TOP2A/VGF/BMP4/CKS2/CDK2/KIF18A/NCAPH/DUSP1/CNR1/NEK2/SLC19A2/CDC20/RGS2/WNT5A/BCL6/SMC4/TTK/RAD51AP1/MDK/RAB3A/CELF4/AURKA/B4GALT1/NDC80/RIMS1/PAFAH1B3/RPS6KA2/ASPM/YBX3/TBPL1/CLDN11/NCAPD2/CD9
GO:0019954	asexual reproduction	0	0/1674	
GO:0022414	reproductive process	133	133/1674	ADGRG1/FLNA/ADA/XRCC2/FSIP2/H2AX/FANCM/PBX1/PRKG1/CIB1/IMMP2L/SLIT3/RAD51B/UNC5C/PLAG1/SSTR2/TH/NECTIN3/NHLH2/NR2C2/BASP1/FOSL1/BCL2/KRT19/HAS2/KRT8/SMAD1/CDK1/CRTAP/AXL/PLK1/PTTG1/CITED2/CASP3/ITGA2/HMGB2/PLB1/SGO2/IGFBP7/FZD5/IGSF8/SPTBN4/CELF3/CDC25C/CCNB2/MMP14/ADAMTS1/CXADR/UCHL1/MERTK/GJA1/POU4F2/ARID5B/DIAPH2/SFRP2/SLIT2/FANCD2/RAB13/NUF2/HSPG2/P3H4/GREB1L/ADCYAP1/MYOCD/MFGE8/BRCA2/ETV6/BMPR1B/CYP1B1/LHCGR/SULF1/STXBP1/BRIP1/B4GALNT1/ANXA1/PDGFRA/PHC2/FST/PCNA/SERPINF1/RPA1/TOP2A/VGF/DACH2/BMP4/CKS2/CDK2/KIF18A/NCAPH/RDH10/DUSP1/CNR1/NEK2/SLC19A2/CDC20/SLC2A1/RGS2/IGFBP5/WNT5A/BCL6/SMC4/STC2/LNPEP/TTK/MDFI/RAD51AP1/MDK/GATA3/RAB3A/PLA2G4C/STK3/FGF9/TIMP1/CELF4/BMP7/TGFB2/AURKA/B4GALT1/NDC80/RIMS1/PAFAH1B3/FBLN1/RPS6KA2/ASPM/YBX3/PTPRN/DSG2/TBPL1/CLDN11/NCAPD2/CD9/MAPK8IP2/ABCC8
GO:0032504	multicellular organism reproduction	72	72/1674	ADA/FSIP2/H2AX/PRKG1/CIB1/IMMP2L/SLIT3/SSTR2/TH/NHLH2/NR2C2/FOSL1/BCL2/HAS2/SMAD1/CRTAP/AXL/PLK1/PTTG1/CITED2/CASP3/HMGB2/CELF3/CDC25C/CCNB2/ADAMTS1/CXADR/UCHL1/MERTK/GJA1/POU4F2/DIAPH2/SLIT2/FANCD2/BRCA2/ETV6/BMPR1B/CYP1B1/LHCGR/BRIP1/B4GALNT1/PDGFRA/PHC2/FST/PCNA/SERPINF1/TOP2A/BMP4/KIF18A/NCAPH/CNR1/SLC19A2/RGS2/BCL6/STC2/TTK/MDK/CELF4/TGFB2/AURKA/B4GALT1/NDC80/PAFAH1B3/RPS6KA2/ASPM/YBX3/PTPRN/DSG2/TBPL1/CLDN11/CD9/MAPK8IP2
GO:0032505	reproduction of a single-celled organism	0	0/1674	
GO:0075325	spore dispersal	0	0/1674	
GO:1990277	parasexual reproduction with cellular fusion	0	0/1674	
GO:0001776	leukocyte homeostasis	12	12/1674	LYN/MIR17HG/ADA/PDE4B/SPNS2/BCL2/PIK3CD/AXL/CASP3/CCNB2/MERTK/ANXA1
GO:0002200	somatic diversification of immune receptors	5	5/1674	STAT6/HMGB2/SWAP70/BCL6/POLB
GO:0002252	immune effector process	33	33/1674	LYN/CFI/ADA/LITAF/SOCS3/TCIM/PIK3CD/PTGER4/SCN11A/AXL/GPRC5B/STAT6/SLC18A2/FZD5/SERPING1/CPLX2/STXBP1/ANXA1/NOTCH2/SWAP70/BST2/WNT5A/BCL6/MDK/GATA3/AHR/SLC7A5/MFNG/TGFB2/SNAP23/GAB2/GRN/FYN
GO:0002253	activation of immune response	24	24/1674	LYN/CFI/ADA/ZNRF1/PDE4B/PRKD1/PAWR/FOSL1/BCL2/PIK3CD/CACNB3/COLEC12/THY1/NEK7/SERPING1/TRIM5/FCHO1/NAGK/TRIM25/MAPKAPK3/GATA3/PAK3/FYN/TSPAN6
GO:0002262	myeloid cell homeostasis	17	17/1674	LYN/ZFP36L1/PDE4B/PIK3CD/AXL/CITED2/CASP3/HMGB2/DMTN/MERTK/NCAPG2/ANXA1/BMP4/BCL6/GATA3/CDK6/RCOR1
GO:0002339	B cell selection	0	0/1674	
GO:0002404	antigen sampling in mucosal-associated lymphoid tissue	0	0/1674	
GO:0002440	production of molecular mediator of immune response	13	13/1674	LITAF/AXL/GPRC5B/STAT6/FZD5/SWAP70/BST2/WNT5A/BCL6/GATA3/SLC7A5/TGFB2/POLB
GO:0002507	tolerance induction	2	2/1674	LYN/PHLPP1
GO:0002520	immune system development	19	19/1674	LYN/ADA/PBX1/SPNS2/BCL2/ONECUT1/SMAD3/STAT6/CITED2/HMGB2/PDPN/CCNB2/SWAP70/LRRC17/HES1/BCL6/GATA3/PHLPP1/POLB
GO:0002682	regulation of immune system process	114	114/1674	CD24/LYN/MIR17HG/MIR125B1/CFI/NRARP/ADA/LITAF/MITF/ZNRF1/ZFP36L1/CIB1/PDE4B/PRKD1/SPNS2/MTURN/AURKB/PAWR/TCIM/SPHK1/FOSL1/PARP14/BCL2/PIK3CD/PTGER4/TRIM56/AXL/CACNB3/IGF2/GPRC5B/SMAD3/STAT6/FBN1/INPPL1/LRFN5/CASP3/ITGA2/HMGB2/FZD5/CHRNB2/NBL1/COLEC12/MMP14/LRP8/THY1/MERTK/ZFP36L2/POU4F2/NEK7/VEGFC/DRD2/SERPING1/TTBK1/PLK2/SLIT2/FANCD2/ILDR2/ERBB2/SLC7A1/ADAM10/THBS1/STXBP1/ANXA1/CDC73/NOTCH2/MEIS2/SWAP70/SYT11/TRIM5/FCHO1/BST2/APOE/LRRC17/BMP4/EFNB2/NAGK/SDC4/MAPK8IP1/TMEM131L/TRIM25/DUSP1/CNR1/FN1/MAPKAPK3/HES1/WNT5A/BCL6/RIPOR2/NEDD9/MDK/MAP3K8/GATA3/GLI3/AHR/CDK6/SLC7A5/SMPD3/LGMN/DHPS/TGFB2/CD200/RCOR1/PHLPP1/PAK3/ACTL6B/GLI2/PRKCQ/CNN2/GAB2/GRN/BID/FYN/CD9/TSPAN6
GO:0002683	negative regulation of immune system process	45	45/1674	LYN/MIR125B1/NRARP/ADA/AURKB/PAWR/PARP14/PTGER4/AXL/STAT6/FBN1/LRFN5/CASP3/NBL1/THY1/MERTK/DRD2/SERPING1/PLK2/SLIT2/ILDR2/ERBB2/THBS1/ANXA1/SYT11/BST2/LRRC17/BMP4/SDC4/TMEM131L/DUSP1/CNR1/FN1/BCL6/RIPOR2/MDK/GLI3/AHR/CDK6/TGFB2/CD200/CNN2/GRN/FYN/TSPAN6
GO:0002684	positive regulation of immune system process	64	64/1674	CD24/LYN/CFI/ADA/ZNRF1/ZFP36L1/PDE4B/PRKD1/PAWR/FOSL1/BCL2/PIK3CD/TRIM56/AXL/CACNB3/IGF2/GPRC5B/STAT6/ITGA2/HMGB2/FZD5/CHRNB2/COLEC12/MMP14/THY1/POU4F2/NEK7/VEGFC/SERPING1/TTBK1/SLC7A1/ADAM10/THBS1/STXBP1/ANXA1/NOTCH2/SWAP70/TRIM5/FCHO1/EFNB2/NAGK/TRIM25/CNR1/MAPKAPK3/HES1/WNT5A/BCL6/RIPOR2/NEDD9/MDK/MAP3K8/GATA3/GLI3/SLC7A5/LGMN/DHPS/TGFB2/PAK3/ACTL6B/GLI2/PRKCQ/GAB2/FYN/TSPAN6
GO:0006955	immune response	96	96/1674	CD24/LYN/CFI/HMGN2/CALM1/ADA/LITAF/ZNRF1/IFITM1/IFITM2/PDE4B/SOCS3/PRKD1/SPNS2/NQO1/AURKB/PAWR/TCIM/FOSL1/PARP14/BCL2/PIK3CD/PTGER4/ALCAM/TRIM56/SCN11A/AXL/CACNB3/GPRC5B/SMAD3/STAT6/SLC18A2/INPPL1/HMGB2/CLDN1/FZD5/EDA/COLEC12/LRP8/THY1/NEK7/DRD2/SERPING1/POLR3A/CPLX2/CXCL14/PLK2/SKP2/ACKR3/IFITM3/SMAD6/THBS1/STXBP1/CD164/ANXA1/NOTCH2/SWAP70/RAP1GAP2/TRIM22/TRIM5/ASS1/FCHO1/BST2/APOE/RAB2B/IFI6/NAGK/OPTN/CXCR4/TRIM25/CNR1/ARHGEF2/MAPKAPK3/WNT5A/BCL6/MDK/GATA3/AHR/FCGRT/SLC7A5/MFNG/TGFB2/SNAP23/CD200/RAPGEF4/PAK3/SEMA3C/CAMK2A/PRKCQ/GAB2/GRN/POU2F2/RNASET2/VIM/FYN/TSPAN6
GO:0019882	antigen processing and presentation	8	8/1674	RAB6A/RAB3B/RAB8B/RAB3C/THBS1/RAB33A/LNPEP/LGMN
GO:0031294	lymphocyte costimulation	5	5/1674	CD24/LYN/EFNB2/MAP3K8/FYN
GO:0035172	hemocyte proliferation	0	0/1674	
GO:0042386	hemocyte differentiation	0	0/1674	
GO:0045058	T cell selection	5	5/1674	SOCS3/BCL2/STAT6/GATA3/GLI3
