ID	Description	Count	GeneRatio	geneID
GO:0000133	polarisome	0	0/1674	
GO:0000408	EKC/KEOPS complex	0	0/1674	
GO:0000417	HIR complex	0	0/1674	
GO:0000796	condensin complex	4	4/1674	NCAPG2/NCAPH/NCAPD2/SMC4
GO:0000808	origin recognition complex	1	1/1674	MCM2
GO:0000930	gamma-tubulin complex	2	2/1674	PDE4B/BLOC1S2
GO:0000939	inner kinetochore	5	5/1674	CENPK/CENPH/CENPO/CENPU/CENPM
GO:0000940	outer kinetochore	10	10/1674	CCNB1/SPC24/NUF2/BUB1B/NDC80/BUB1/SKA3/ZWINT/CENPF/PLK1
GO:0000974	Prp19 complex	0	0/1674	
GO:0001114	protein-DNA-RNA complex	0	0/1674	
GO:0001534	radial spoke	0	0/1674	
GO:0001535	radial spoke head	0	0/1674	
GO:0001536	radial spoke stalk	0	0/1674	
GO:0002096	polkadots	0	0/1674	
GO:0002133	polycystin complex	0	0/1674	
GO:0002142	stereocilia ankle link complex	0	0/1674	
GO:0002167	VRK3/VHR/ERK complex	0	0/1674	
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	0	0/1674	
GO:0002199	zona pellucida receptor complex	0	0/1674	
GO:0002929	MECO complex	0	0/1674	
GO:0005577	fibrinogen complex	2	2/1674	THBS1/FN1
GO:0005581	collagen trimer	23	23/1674	COL2A1/COL5A1/C1QL1/COL1A2/COL4A6/COLEC12/COL4A5/COL25A1/COL4A2/COL4A1/COL27A1/COL1A1/COL9A2/SCARA3/COL5A2/COL9A1/COL23A1/COL9A3/COL22A1/C1QTNF6/LUM/EDA/COL20A1
GO:0005602	complement component C1 complex	0	0/1674	
GO:0005616	larval serum protein complex	0	0/1674	
GO:0005663	DNA replication factor C complex	1	1/1674	RFC3
GO:0005667	transcription regulator complex	44	44/1674	TFAP2D/REST/YAP1/POU4F2/DACH2/CCND1/AJUBA/GLI3/MAF/POU3F1/SOX2/INSM1/SMAD3/HLF/WTIP/NHLH2/ONECUT3/BEX1/WWTR1/TCF7L2/TEAD2/ANKRD1/PBXIP1/CORO2A/CREG1/ATF3/CDK2/SMAD1/DEPDC1/MTA3/SMAD6/E2F5/RCOR1/MXD3/AHR/HDAC9/STAT6/TBPL1/PBX1/PRDM16/MED25/SNAPC1/FOSL1/KLF5
GO:0005831	steroid hormone aporeceptor complex	0	0/1674	
GO:0005833	hemoglobin complex	0	0/1674	
GO:0005838	proteasome regulatory particle	0	0/1674	
GO:0005850	eukaryotic translation initiation factor 2 complex	0	0/1674	
GO:0005851	eukaryotic translation initiation factor 2B complex	0	0/1674	
GO:0005852	eukaryotic translation initiation factor 3 complex	0	0/1674	
GO:0005853	eukaryotic translation elongation factor 1 complex	1	1/1674	EEF1A2
GO:0005854	nascent polypeptide-associated complex	1	1/1674	NACAD
GO:0005861	troponin complex	0	0/1674	
GO:0005862	muscle thin filament tropomyosin	2	2/1674	TPM2/TPM1
GO:0005875	microtubule associated complex	32	32/1674	BIRC5/AURKB/KIF5A/KIF20A/KIF11/KIF3C/DCX/TTBK1/DYNLT3/KIF23/KIF14/KIF2C/MAP1B/KIF4A/KIF22/AURKA/KIF21B/KIF5C/DYNC1LI1/MAP2/KIF3B/KIF18B/KIF18A/HAUS4/DCTN1/DYNLT1/EML1/PEA15/KIF3A/MAP1A/LRP8/KIF16B
GO:0005885	Arp2/3 protein complex	0	0/1674	
GO:0005931	axonemal nexin link	0	0/1674	
GO:0008091	spectrin	1	1/1674	SPTBN4
GO:0008278	cohesin complex	1	1/1674	SGO2
GO:0008290	F-actin capping protein complex	1	1/1674	ADD2
GO:0008537	proteasome activator complex	0	0/1674	
GO:0008540	proteasome regulatory particle, base subcomplex	0	0/1674	
GO:0008541	proteasome regulatory particle, lid subcomplex	0	0/1674	
GO:0015627	type II protein secretion system complex	0	0/1674	
GO:0016272	prefoldin complex	0	0/1674	
GO:0016459	myosin complex	10	10/1674	MYO5C/CGN/MYO16/MYL9/MYO5B/MYO10/MYO1D/MYO3A/MYO5A/MYO1F
GO:0017102	methionyl glutamyl tRNA synthetase complex	0	0/1674	
GO:0018444	translation release factor complex	0	0/1674	
GO:0019035	viral integration complex	0	0/1674	
GO:0019036	viral transcriptional complex	0	0/1674	
GO:0019773	proteasome core complex, alpha-subunit complex	0	0/1674	
GO:0019774	proteasome core complex, beta-subunit complex	0	0/1674	
GO:0019814	immunoglobulin complex	0	0/1674	
GO:0022623	proteasome-activating nucleotidase complex	0	0/1674	
GO:0022624	proteasome accessory complex	0	0/1674	
GO:0030076	light-harvesting complex	0	0/1674	
GO:0030080	B875 antenna complex	0	0/1674	
GO:0030081	B800-820 antenna complex	0	0/1674	
GO:0030082	B800-850 antenna complex	0	0/1674	
GO:0030256	type I protein secretion system complex	0	0/1674	
GO:0030257	type III protein secretion system complex	0	0/1674	
GO:0030314	junctional membrane complex	1	1/1674	JPH4
GO:0030990	intraciliary transport particle	0	0/1674	
GO:0030991	intraciliary transport particle A	0	0/1674	
GO:0030992	intraciliary transport particle B	0	0/1674	
GO:0030993	axonemal heterotrimeric kinesin-II complex	0	0/1674	
GO:0031074	nucleocytoplasmic transport complex	0	0/1674	
GO:0031105	septin complex	2	2/1674	SEPTIN3/SEPTIN5
GO:0031209	SCAR complex	2	2/1674	CYFIP2/WASF2
GO:0031251	PAN complex	0	0/1674	
GO:0031389	Rad17 RFC-like complex	0	0/1674	
GO:0031395	bursicon neuropeptide hormone complex	0	0/1674	
GO:0031511	Mis6-Sim4 complex	1	1/1674	CENPO
GO:0031521	spitzenkorper	0	0/1674	
GO:0031680	G-protein beta/gamma-subunit complex	0	0/1674	
GO:0031838	haptoglobin-hemoglobin complex	0	0/1674	
GO:0031941	filamentous actin	4	4/1674	LDB3/DPYSL3/CARMIL1/MYO3A
GO:0032300	mismatch repair complex	0	0/1674	
GO:0032311	angiogenin-PRI complex	0	0/1674	
GO:0032766	NHE3/E3KARP/ACTN4 complex	0	0/1674	
GO:0032992	protein-carbohydrate complex	0	0/1674	
GO:0032993	protein-DNA complex	117	117/1674	TFAP2D/HES1/ONECUT2/VSX2/POU4F2/BNC2/PLK2/ATOH7/MAF/FOXN4/EBF3/MYOCD/POU3F1/SCRT2/SOX2/FOXO1/TGIF1/CREB5/HIF3A/SMAD3/HLF/RAD51AP1/ZHX2/MCM3/NHLH2/ONECUT3/NFIA/ACTL6B/RORB/HMGB2/HMGA2/NHLH1/H2AX/PAWR/TCF7L2/BASP1/MCM2/KIF22/LHX2/TEAD2/TGIF2/CHAF1A/CREB3L2/CDCA5/PBXIP1/DDB2/NPAS3/KAT2B/TERF2IP/ONECUT1/FANCD2/EBF1/TFAP2A/BHLHE40/MEIS2/H1-5/HMGN5/PROX1/ETV6/ATF3/BARHL2/TIMELESS/ERF/OLIG2/GINS1/SMAD1/MYCN/FANK1/TFEC/PCNA/ERCC6/POU2F2/CENPF/ZNF385A/ISL1/MTA3/SMAD6/MCM4/E2F5/OTX2/CITED2/DLX2/MYT1L/FAM111A/PLK1/FANCB/ETV1/MXD3/AHR/H1-2/FOXM1/MCM5/ELK4/ENC1/HELLS/NFIC/GATA3/ANP32E/STAT6/HMGN2/DPF3/JADE1/MITF/PHC2/PBX1/TSPYL4/RPA1/FANCM/CSRNP1/MCM6/NFIB/DSCC1/FOSL1/TGM2/NR2C2/KLF5/H3C2
GO:0032994	protein-lipid complex	2	2/1674	APOE/LSR
GO:0033061	DNA recombinase mediator complex	2	2/1674	RAD51B/XRCC2
GO:0033104	type VI protein secretion system complex	0	0/1674	
GO:0033186	CAF-1 complex	1	1/1674	CHAF1A
GO:0033193	Lsd1/2 complex	0	0/1674	
GO:0033551	monopolin complex	0	0/1674	
GO:0033596	TSC1-TSC2 complex	0	0/1674	
GO:0034044	exomer complex	0	0/1674	
GO:0034270	Cvt complex	0	0/1674	
GO:0034464	BBSome	0	0/1674	
GO:0034748	Par3-APC-KIF3A complex	0	0/1674	
GO:0034749	Scrib-APC complex	0	0/1674	
GO:0034750	Scrib-APC-beta-catenin complex	0	0/1674	
GO:0034973	Sid2-Mob1 complex	0	0/1674	
GO:0034996	RasGAP-Fyn-Lyn-Yes complex	0	0/1674	
GO:0035649	Nrd1 complex	0	0/1674	
GO:0035658	Mon1-Ccz1 complex	0	0/1674	
GO:0035693	NOS2-CD74 complex	0	0/1674	
GO:0035859	Seh1-associated complex	0	0/1674	
GO:0036038	MKS complex	1	1/1674	B9D1
GO:0036284	tubulobulbar complex	1	1/1674	DNM3
GO:0036286	eisosome filament	0	0/1674	
GO:0036375	Kibra-Ex-Mer complex	0	0/1674	
GO:0036398	TCR signalosome	0	0/1674	
GO:0036452	ESCRT complex	0	0/1674	
GO:0036454	growth factor complex	1	1/1674	IGFBP5
GO:0036501	UFD1-NPL4 complex	0	0/1674	
GO:0038045	large latent transforming growth factor-beta complex	0	0/1674	
GO:0038059	IKKalpha-IKKalpha complex	0	0/1674	
GO:0039658	TBK1-IKKE-DDX3 complex	0	0/1674	
GO:0042555	MCM complex	5	5/1674	MCM3/MCM2/MCM4/MCM5/MCM6
