isoform_id	IR	IR_genomic_start	IR_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000686149	1	92235647	92236412	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000265577	1	8113512	8113592	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000515144	1	14488261	14488447	ENSG00000038382	TRIO	14146429,14149136,14150216,14150418,14151050,14151280,14151879,14152276,14153118,14160857,14162857,14163125,14163127,14163669,14164437,14164811,14165317,14165356,14166268,14168608,14169080,14169842,14170441,14171199,14173355,14174204,14175767,14177383,14179581,14180992,14186722,14189610,14190940,14191129,14193115,14194046,14206820,14207575,14208380,14208422,14212007,14214058,14215226,14216085,14216487,14217061,14220646,14226404,14228386,14230478,14233682,14235720,14237458,14238241,14238380,14238536,14238588,14239720,14242986,14249137,14249532,14249756,14249896,14250340,14252945,14253168,14254466,14255501,14259740,14260454,14261971,14262128,14263269,14263736,14263848,14267486,14270123,14274750,14276313,14278294,14278907,14279760,14279762,14283514,14283528,14283649,14287211,14287506,14295004,14295262,14299305,14299337,14301761,14305238,14306614,14307534,14309104,14311044,14312209,14313417,14316767,14321422,14321517,14322380,14324848,14325084,14327789,14328061,14329636,14329831,14330511,14330513,14331744,14331746,14332496,14333725,14335960,14337204,14338472,14343132,14343502,14345239,14347766,14348506,14348582,14348588,14348590,14348617,14348635,14348637,14348699,14348779,14348896,14349058,14349115,14349117,14349991,14350709,14350971,14351626,14355142,14356762,14357143,14357570,14357981,14358749,14363603,14363687,14363831,14365314,14367814,14370034,14374379,14375237,14376429,14376784,14376786,14379540,14380759,14383386,14383388,14385284,14385582,14387050,14387138,14389369,14390727,14390970,14391753,14392620,14393722,14393739,14394976,14396614,14397132,14398313,14399505,14399812,14400422,14401892,14401915,14402468,14405049,14406263,14411162,14411203,14413358,14415996,14418939,14420109,14420631,14422161,14423006,14429405,14430353,14433440,14434964,14434966,14436025,14436711,14437625,14440569,14442155,14442512,14446482,14446603,14446605,14448457,14452088,14452571,14452573,14452678,14457770,14461906,14463263,14463327,14463329,14463875,14467682,14468992,14470613,14472371,14472562,14473893,14474107,14477088,14481288,14482022,14482251,14483718,14486914,14489185,14490560,14490562,14491718,14491898,14493425,14496357,14498082,14499060,14499421,14503020,14505696,14507756,14507758,14510095,14513089,14514437,14515081,14515083,14516925,14518960,14524678,14524703,14526592,14529326
ENST00000239940	1	149966265	149966315	ENSG00000070087	PFN2	149965745,149965747,149965955,149968324,149973571,149978677,149978679,149980651,149980952,149986935,149987304,149991065,149991119,149991121,149991213,149992885,149992887,149993195,149993197,149995794,149997965,149998569,149998571,149999019,149999237,150002187,150003329,150005461,150005681,150006940,150011428,150012458,150012460,150016204,150018090,150018103,150020599,150020752,150021132,150022328,150024877,150025802,150027857,150029301,150030065,150031984,150032275,150035003,150036437,150037330,150039421,150040310,150040312,150041748,150042075,150045637,150046615,150047000,150047886
ENST00000590550	1	1578159	1578334	ENSG00000071655	MBD3	1577679,1582232
ENST00000322910	1	7220047	7220121	ENSG00000072778	ACADVL	7218433,7221219,7221564,7221566,7221827,7222787
ENST00000680836	1	62398561	62398645	ENSG00000086189	DIMT1	62353723,62356930,62357228,62358815,62362971,62363738,62365348,62367081,62368645,62372692,62373643,62384646,62385966,62385968,62386557,62393143,62393280,62395549,62398148,62403112,62403419
ENST00000684915	1	2705808	2706363	ENSG00000101596	SMCHD1	2661094,2661224,2661306,2662855,2666372,2669215,2674500,2677771,2678992,2680229,2682991,2683067,2685925,2685927,2687031,2692482,2694310,2696427,2697893,2706489,2706879,2714316,2717303,2721026,2721683,2731867,2731869,2733032,2733202,2737326,2737580,2743277,2743602,2743620,2744184,2744640,2748262,2749269,2753091,2753098,2753124,2756739,2758388,2760053,2761044,2761046,2761177,2764782,2765896,2766418,2766420,2768074,2772633,2772901,2773449,2774335,2776366,2777048,2779683,2779685,2779687,2784845,2786890,2787830,2787832,2788224,2791896,2791898,2791900,2796725,2804415
ENST00000447574	1	76303077	76303801	ENSG00000106211	NA	NA
ENST00000490912	3	26191129;26197733;26197867	26191421;26197830;26200571	ENSG00000122566	HNRNPA2B1	26173381,26177728,26178454,26179045,26179271,26180015,26180118,26183228,26185611,26188394,26188552,26192237
