isoform_id	A3	A3_genomic_start	A3_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000686149	2	92213979;92222978	92214002;92223261	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000265577	1	8232752	8232755	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000002501	1	90009430	90010211	ENSG00000003249	DBNDD1	90006619,90009716,90010190,90010865,90011007,90013445,90013940,90015393,90015558,90015560,90015707,90015709,90018800
ENST00000369124	1	150153483	150156066	ENSG00000023902	PLEKHO1	150153332,150154627,150157991,150163418,150163430,150163462,150164296,150164488,150164660
ENST00000547997	2	95270039;95299094	95270051;95300165	ENSG00000028203	VEZT	95218628,95221433,95221717,95224930,95225963,95226503,95226527,95227485,95230669,95232639,95233048,95241371,95243243,95244351,95256196,95258938,95259667,95260981,95262203,95263702,95263704,95264760,95265005,95265007,95267107,95270794,95272028,95272339,95273350,95273352,95273354,95275735,95278938,95281138,95283190,95286918,95290145,95291943,95292126,95294696,95300595,95301781
ENST00000389341	2	42096195;42117366	42096243;42117432	ENSG00000028277	POU2F2	42090068,42093412,42096414,42096876,42098085,42102038,42104463,42106569,42106894,42107845,42111264,42115018,42115373,42116661,42120061,42124472,42125816,42128977,42130059,42130278,42131949,42133560,42133562,42133655,42141626,42142768,42142909,42143232,42144878,42147121,42153196,42155229,42155375,42156827,42159264,42159307,42160161,42160442,42162923,42165545,42165547,42167963,42169648,42169658,42170702,42170714,42170758,42171939,42172466,42172656,42174240,42174679,42174696,42174698,42175338,42178239,42179413,42179634,42180873,42181047,42181154,42181248,42181365,42181402,42183144,42183578,42183580,42184530,42184702,42193719,42193800,42193880,42194254
ENST00000348476	1	58299537	58299798	ENSG00000032219	ARID4A	58303809,58305436,58306154,58306747,58306926,58306950,58308493,58310566,58315947,58318085,58320515,58325716,58327948,58327950,58328861,58335458,58339115,58342781,58346078,58351787,58354420,58356384,58357384,58357608,58358429,58359361,58359363,58359365,58362065,58368820
BambuTx597	1	28921637	28921640	ENSG00000034053	APBA2	28885256,28888058,28888795,28889289,28893603,28894872,28898164,28898493,28898642,28899608,28900905,28900907,28906475,28907091,28908171,28914575,28914910,28915669,28915728,28915888,28920392,28920424,28921321,28922860,28922867,28927745,28932426,28935284,28935323,28935699,28935877,28935957,28936895,28939701,28942998,28944256,28946053,28946055,28947329,28949384,28950248,28951538,28952033,28952686,28954537,28954941,28956005,28956368,28958472,28959133,28963316,28963926,28964018,28964193,28965790,28966065,28967320,28969321,28969323,28969325,28970875,28970950,28971552,28971761,28973107,28976270,28976547,28979989,28981697,28983152,28988631,28993344,28995828,28996390,28996801,28999803,29007935,29010099,29014168,29014201,29014203,29016367,29016369,29019536,29024048,29024823,29025316,29028117,29028472,29029909,29031411,29031653,29031925,29033146,29034173,29034588,29034763,29035836,29038972,29039069,29039490,29042417,29042992,29049714,29051000,29052082,29057748,29057929,29058599,29059979,29060798,29069478,29069715,29069717,29071994,29072280,29073748,29074822,29077073,29078896,29079412,29079897,29080377,29081392,29082042,29084205,29091481,29093010,29096500,29098430,29100011,29100366,29106090,29107224,29111532,29112449,29112770,29112979,29113792,29114043,29114616,29114727,29118251,29118253
ENST00000515144	2	14406214;14482417	14406573;14482582	ENSG00000038382	TRIO	14146429,14149136,14150216,14150418,14151050,14151280,14151879,14152276,14153118,14160857,14162857,14163125,14163127,14163669,14164437,14164811,14165317,14165356,14166268,14168608,14169080,14169842,14170441,14171199,14173355,14174204,14175767,14177383,14179581,14180992,14186722,14189610,14190940,14191129,14193115,14194046,14206820,14207575,14208380,14208422,14212007,14214058,14215226,14216085,14216487,14217061,14220646,14226404,14228386,14230478,14233682,14235720,14237458,14238241,14238380,14238536,14238588,14239720,14242986,14249137,14249532,14249756,14249896,14250340,14252945,14253168,14254466,14255501,14259740,14260454,14261971,14262128,14263269,14263736,14263848,14267486,14270123,14274750,14276313,14278294,14278907,14279760,14279762,14283514,14283528,14283649,14287211,14287506,14295004,14295262,14299305,14299337,14301761,14305238,14306614,14307534,14309104,14311044,14312209,14313417,14316767,14321422,14321517,14322380,14324848,14325084,14327789,14328061,14329636,14329831,14330511,14330513,14331744,14331746,14332496,14333725,14335960,14337204,14338472,14343132,14343502,14345239,14347766,14348506,14348582,14348588,14348590,14348617,14348635,14348637,14348699,14348779,14348896,14349058,14349115,14349117,14349991,14350709,14350971,14351626,14355142,14356762,14357143,14357570,14357981,14358749,14363603,14363687,14363831,14365314,14367814,14370034,14374379,14375237,14376429,14376784,14376786,14379540,14380759,14383386,14383388,14385284,14385582,14387050,14387138,14389369,14390727,14390970,14391753,14392620,14393722,14393739,14394976,14396614,14397132,14398313,14399505,14399812,14400422,14401892,14401915,14402468,14405049,14406263,14411162,14411203,14413358,14415996,14418939,14420109,14420631,14422161,14423006,14429405,14430353,14433440,14434964,14434966,14436025,14436711,14437625,14440569,14442155,14442512,14446482,14446603,14446605,14448457,14452088,14452571,14452573,14452678,14457770,14461906,14463263,14463327,14463329,14463875,14467682,14468992,14470613,14472371,14472562,14473893,14474107,14477088,14481288,14482022,14482251,14483718,14486914,14489185,14490560,14490562,14491718,14491898,14493425,14496357,14498082,14499060,14499421,14503020,14505696,14507756,14507758,14510095,14513089,14514437,14515081,14515083,14516925,14518960,14524678,14524703,14526592,14529326
ENST00000262186	1	150959736	150960876	ENSG00000055118	KCNH2	150946238,150949497,150950252,150950277,150953762,150954472,150954826,150956131,150956161,150957493,150961258,150961442,150961837,150963829,150964388,150965303,150968781,150977011
ENST00000405094	1	42702307	42704194	ENSG00000057935	MTA3	42497795,42498108,42498557,42499312,42499656,42504384,42505028,42505260,42506307,42507316,42507318,42507398,42511584,42513145,42514832,42515473,42515475,42517128,42518216,42518218,42518575,42523294,42523786,42531342,42531344,42532764,42534926,42535732,42540703,42541176,42545719,42546694,42546878,42549042,42549878,42550257,42553775,42554102,42554520,42555323,42556165,42558688,42558788,42567171,42571267,42571815,42573064,42574279,42575741,42577331,42578571,42579825,42579827,42580740,42582864,42588780,42592452,42598811,42598929,42611595,42617519,42623349,42625820,42625822,42630291,42630293,42633131,42634125,42634381,42638262,42639270,42641299,42641533,42641707,42643647,42646280,42649035,42650894,42652156,42657665,42658693,42658695,42658966,42663084,42666357,42666521,42667058,42667060,42676634,42679618,42681657,42683700,42684076,42684823,42687522,42687948,42691332,42692569,42697741,42705574,42705795,42706005,42708909,42712112,42716573,42716796,42716798,42718232,42718924,42720641,42721562,42722094,42722269,42727064,42729195,42730533,42734374,42749305,42750754,42753070,42753772
