gene_id	gene_name
ENSG00000168843	FSTL5
ENSG00000139445	FOXN4
ENSG00000165521	EML5
ENSG00000164318	EGFLAM
ENSG00000092200	RPGRIP1
ENSG00000102755	FLT1
ENSG00000111664	GNB3
ENSG00000112041	TULP1
ENSG00000198570	RD3
ENSG00000047617	ANO2
ENSG00000116703	PDC
ENSG00000159217	IGF2BP1
ENSG00000104888	SLC17A7
ENSG00000148600	CDHR1
ENSG00000104237	RP1
ENSG00000272398	CD24
ENSG00000011347	SYT7
ENSG00000082438	COBLL1
ENSG00000105392	CRX
ENSG00000176170	SPHK1
ENSG00000177182	CLVS1
ENSG00000185518	SV2B
ENSG00000226950	DANCR
ENSG00000008086	CDKL5
ENSG00000109103	UNC119
ENSG00000113522	RAD50
ENSG00000168461	RAB31
ENSG00000182667	NTM
ENSG00000149489	ROM1
ENSG00000173267	SNCG
ENSG00000108387	SEPTIN4
ENSG00000108387	NA
ENSG00000035499	DEPDC1B
ENSG00000053524	MCF2L2
ENSG00000134602	STK26
ENSG00000070601	FRMPD1
ENSG00000189221	MAOA
ENSG00000021645	NRXN3
ENSG00000100504	PYGL
ENSG00000144834	TAGLN3
ENSG00000184489	PTP4A3
ENSG00000129221	AIPL1
ENSG00000106348	IMPDH1
ENSG00000158445	KCNB1
ENSG00000168309	FAM107A
ENSG00000116016	EPAS1
ENSG00000184144	CNTN2
ENSG00000187017	ESPN
ENSG00000225177	NA
ENSG00000225177	NHSL1-AS1
ENSG00000132639	SNAP25
ENSG00000160298	C21orf58
ENSG00000173826	KCNH6
ENSG00000176890	TYMS
ENSG00000109906	ZBTB16
ENSG00000167083	GNGT2
ENSG00000112312	GMNN
ENSG00000198691	ABCA4
ENSG00000138722	MMRN1
ENSG00000017483	NA
ENSG00000017483	SLC38A5
ENSG00000129195	PIMREG
ENSG00000143171	RXRG
ENSG00000150672	DLG2
ENSG00000150672	NA
ENSG00000072571	HMMR
ENSG00000154265	ABCA5
ENSG00000197301	HMGA2-AS1
ENSG00000109107	ALDOC
ENSG00000162496	DHRS3
ENSG00000281880	PAUPAR
ENSG00000100297	MCM5
ENSG00000143228	NUF2
ENSG00000175567	UCP2
ENSG00000215417	MIR17HG
ENSG00000228716	DHFR
ENSG00000253230	MIR124-1HG
ENSG00000169085	VXN
ENSG00000042781	USH2A
ENSG00000164898	FMC1
ENSG00000102271	KLHL4
ENSG00000123219	CENPK
ENSG00000129534	MIS18BP1
ENSG00000165323	FAT3
ENSG00000137309	HMGA1
ENSG00000227051	C14orf132
ENSG00000149948	HMGA2
ENSG00000165895	ARHGAP42
ENSG00000106069	CHN2
ENSG00000163378	EOGT
ENSG00000100422	CERK
ENSG00000021300	PLEKHB1
ENSG00000105655	ISYNA1
ENSG00000172020	GAP43
ENSG00000172020	NA
ENSG00000036672	USP2
ENSG00000115758	ODC1
ENSG00000175155	YPEL2
ENSG00000074317	SNCB
ENSG00000115295	CLIP4
ENSG00000132932	ATP8A2
ENSG00000139292	LGR5
ENSG00000284906	NA
ENSG00000121152	NCAPH
ENSG00000170421	KRT8
ENSG00000248905	FMN1
ENSG00000102003	SYP
ENSG00000177426	TGIF1
ENSG00000186998	EMID1
ENSG00000144406	UNC80
ENSG00000090889	KIF4A
ENSG00000152240	HAUS1
ENSG00000111912	NCOA7
ENSG00000134222	PSRC1
ENSG00000185697	MYBL1
ENSG00000120802	TMPO
ENSG00000144366	GULP1
ENSG00000213186	TRIM59
ENSG00000215861	NA
ENSG00000129673	AANAT
ENSG00000167371	PRRT2
ENSG00000173894	CBX2
ENSG00000120549	KIAA1217
ENSG00000113361	CDH6
ENSG00000129535	NRL
ENSG00000137807	KIF23
ENSG00000176406	RIMS2
ENSG00000064687	ABCA7
ENSG00000282988	NA
ENSG00000110436	SLC1A2
ENSG00000141639	MAPK4
ENSG00000182481	KPNA2
ENSG00000163377	TAFA4
ENSG00000079462	PAFAH1B3
ENSG00000180198	RCC1
ENSG00000180198	NA
